gene,in_HSR_core,in_TCR_activation,in_HSR_sensitivity,attribution,hsr_category,wt_heat_t
Hbegf,FALSE,FALSE,FALSE,neither,,9.03125921
Sgms2,FALSE,FALSE,FALSE,neither,,8.89268344
Gfi1,FALSE,FALSE,FALSE,neither,,8.88227819
4930459C07Rik,FALSE,FALSE,FALSE,neither,,8.88102204
Trp73,FALSE,FALSE,FALSE,neither,,8.83309953
Rnf152,FALSE,FALSE,FALSE,neither,,8.82778599
Kdm6b,FALSE,FALSE,FALSE,neither,,8.73982428
Cd53,FALSE,FALSE,FALSE,neither,,8.73906997
Sh3gl3,FALSE,FALSE,FALSE,neither,,8.71341034
AA467197,FALSE,FALSE,FALSE,neither,,8.69054597
Ripk4,FALSE,FALSE,FALSE,neither,,8.67252672
Yap1,FALSE,FALSE,FALSE,neither,,8.5994821
Pdgfb,FALSE,FALSE,FALSE,neither,,8.59721986
Casz1,FALSE,FALSE,FALSE,neither,,8.5939918
Zfp583,FALSE,FALSE,FALSE,neither,,8.52912155
2010003K11Rik,FALSE,FALSE,FALSE,neither,,8.49780889
Dnah7a,FALSE,FALSE,FALSE,neither,,8.43785905
Hspg2,FALSE,FALSE,FALSE,neither,,8.37818079
Stra6,FALSE,FALSE,FALSE,neither,,8.37617836
Csf2,FALSE,FALSE,FALSE,neither,,8.33435128
Tal2,FALSE,FALSE,FALSE,neither,,8.2974381
Bicd1,FALSE,FALSE,FALSE,neither,,8.27884371
Sema4a,FALSE,FALSE,FALSE,neither,,8.09965813
Timd2,FALSE,FALSE,FALSE,neither,,8.05750898
Six5,FALSE,FALSE,FALSE,neither,,7.89438291
Rgs16,FALSE,FALSE,FALSE,neither,,7.88050053
Oas3,FALSE,FALSE,FALSE,neither,,7.86216486
Gpr183,FALSE,FALSE,FALSE,neither,,7.82026956
Sdc4,FALSE,FALSE,FALSE,neither,,7.75176122
Ptgs2,FALSE,FALSE,FALSE,neither,,7.60821714
Gm867,FALSE,FALSE,FALSE,neither,,7.57818766
Il3,FALSE,FALSE,FALSE,neither,,7.56864338
Cldn4,FALSE,FALSE,FALSE,neither,,7.50802103
Emilin2,FALSE,FALSE,FALSE,neither,,7.49688347
Slc35d3,FALSE,FALSE,FALSE,neither,,7.41000501
Myo16,FALSE,FALSE,FALSE,neither,,7.2724529
Mcf2l,FALSE,FALSE,FALSE,neither,,7.2025291
Vill,FALSE,FALSE,FALSE,neither,,7.02075085
Ppef1,FALSE,FALSE,FALSE,neither,,6.95170501
Tnfsf9,FALSE,FALSE,FALSE,neither,,6.84239503
Mst1r,FALSE,FALSE,FALSE,neither,,6.79789154
Spry1,FALSE,FALSE,FALSE,neither,,6.79768575
Anxa2,FALSE,FALSE,FALSE,neither,,6.77460364
Lamc2,FALSE,FALSE,FALSE,neither,,6.75808471
Gm43430,FALSE,FALSE,FALSE,neither,,6.73040539
Cth,FALSE,FALSE,FALSE,neither,,6.71018321
Ccn1,FALSE,FALSE,FALSE,neither,,6.54985351
Plk3,FALSE,FALSE,FALSE,neither,,6.42552376
Sp7,FALSE,FALSE,FALSE,neither,,6.21706196
Areg,FALSE,FALSE,FALSE,neither,,6.21463998
Pkib,FALSE,FALSE,FALSE,neither,,6.00878821
Esyt3,FALSE,FALSE,FALSE,neither,,5.60049887
Adm,FALSE,FALSE,FALSE,neither,,5.2771674
Ak4,FALSE,FALSE,FALSE,neither,,5.24404645
Il24,FALSE,FALSE,FALSE,neither,,5.1672046
Tgm2,FALSE,FALSE,FALSE,neither,,4.78554615
P4ha2,FALSE,FALSE,FALSE,neither,,4.74812283
Cpne6,FALSE,FALSE,FALSE,neither,,4.54525268
