pathway_id,pathway_name,database,nes_WT_heat,padj_WT_heat,nes_KO_heat,padj_KO_heat,nes_interaction,padj_interaction,sig_interaction,pattern,nes_temp_main,nes_geno_main
GOBP_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY,Regulation of Protein Containing Complex Assembly,GO_BP,1.11567931,0.335391965,1.06618111,0.429100325,0.927049064,0.945905566,False,shared_heat,1.05569761,1.21954811
GOBP_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY,Regulation of Protein Containing Complex Disassembly,GO_BP,1.0952234,0.428804901,1.07990506,0.456639778,-0.789242471,0.994346977,False,shared_heat,1.08061237,1.32797674
GOBP_REGULATION_OF_PROTEIN_DEPOLYMERIZATION,Regulation of Protein Depolymerization,GO_BP,0.934533848,0.634541815,1.02770386,0.516814831,-0.984647861,0.871101927,False,shared_heat,1.01228422,1.15343168
GOBP_REGULATION_OF_PROTEIN_EXPORT_FROM_NUCLEUS,Regulation of Protein Export from Nucleus,GO_BP,1.54451167,0.104286578,1.44070594,0.187068476,1.46078885,0.431294095,False,shared_heat,1.45429271,1.98310597
GOBP_REGULATION_OF_PROTEIN_IMPORT_INTO_NUCLEUS,Regulation of Protein Import Into Nucleus,GO_BP,1.8499997,0.0103273226,1.61549016,0.0706996989,0.891809664,0.944986169,False,shared_heat,1.6711359,0.975666671
GOBP_REGULATION_OF_PROTEIN_LOCALIZATION,Regulation of Protein Localization,GO_BP,1.86549424,5.14592642e-07,1.70175956,2.92486826e-05,1.52872502,0.0105734599,True,cGAS_amplified,1.74285026,1.53871352
GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY,Regulation of Protein Localization to Cell Periphery,GO_BP,1.88221681,0.0021107609,1.79726164,0.00855879182,0.897002916,0.950156705,False,shared_heat,1.80977837,-1.08597942
GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_SURFACE,Regulation of Protein Localization to Cell Surface,GO_BP,-1.40412379,0.187541921,-1.29834012,0.295084039,0.73597848,0.994346977,False,shared_heat,-1.40410083,0.476109464
GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE,Regulation of Protein Localization to Membrane,GO_BP,2.14974058,1.87400489e-05,1.9942423,0.000365807793,0.949259465,0.907191457,False,shared_heat,2.07773992,-1.08400611
GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS,Regulation of Protein Localization to Nucleus,GO_BP,1.51284051,0.0501731642,1.47624323,0.0759789013,0.978108311,0.884599685,False,shared_heat,1.45189276,1.17140766
GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE,Regulation of Protein Localization to Plasma Membrane,GO_BP,2.06279983,0.000174372969,2.00136694,0.00200958617,0.859460559,0.959690565,False,shared_heat,2.04180758,-1.22565312
GOBP_REGULATION_OF_PROTEIN_MATURATION,Regulation of Protein Maturation,GO_BP,1.9343459,0.00578506941,1.93973524,0.00760013794,-0.953117986,0.896633964,False,shared_heat,1.93867761,0.942129988
GOBP_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS,Regulation of Protein Modification Process,GO_BP,1.28519721,0.0777194105,-1.15902384,0.268371101,1.44142893,0.0954648597,False,shared_heat,1.16985074,1.05813416
GOBP_REGULATION_OF_PROTEIN_POLYMERIZATION,Regulation of Protein Polymerization,GO_BP,-1.11883673,0.372684313,-1.08191975,0.440596866,-0.778734816,0.999948662,False,shared_heat,-1.0920553,1.00581943
GOBP_REGULATION_OF_PROTEIN_SECRETION,Regulation of Protein Secretion,GO_BP,1.58385876,0.0206072884,1.39049904,0.100342425,1.36933999,0.367343151,False,shared_heat,1.44225192,1.08970199
GOBP_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY,Regulation of Protein Serine Threonine Kinase Activity,GO_BP,-1.20705773,0.294543986,-1.20025553,0.33107198,-0.891100347,0.950156705,False,shared_heat,-1.20048303,-0.985493297
GOBP_REGULATION_OF_PROTEIN_STABILITY,Regulation of Protein Stability,GO_BP,1.19153092,0.247441581,1.17382269,0.289573775,0.87244537,0.976113102,False,shared_heat,1.241119,-0.91734053
GOBP_REGULATION_OF_PROTEIN_TARGETING,Regulation of Protein Targeting,GO_BP,1.80231152,0.0150500482,1.76377929,0.0259132252,-0.930407835,0.913207117,False,shared_heat,1.73151693,0.902369511
GOBP_REGULATION_OF_PROTEIN_TARGETING_TO_MEMBRANE,Regulation of Protein Targeting to Membrane,GO_BP,1.63177113,0.0707783945,1.51057861,0.150908033,-0.981230806,0.871731125,False,shared_heat,1.52317058,0.989035945
GOBP_REGULATION_OF_PROTEIN_TRANSPORT,Regulation of Protein Transport,GO_BP,1.77408557,0.000713371156,1.54025738,0.0164422095,1.6196826,0.0325500145,True,cGAS_amplified,1.62220371,1.36293244
GOBP_REGULATION_OF_PROTEIN_UBIQUITINATION,Regulation of Protein Ubiquitination,GO_BP,-1.07325529,0.438375893,-1.24502368,0.258443014,1.35056159,0.414508616,False,shared_heat,-1.15712566,1.33516154
GOBP_REGULATION_OF_PROTEOLYSIS,Regulation of Proteolysis,GO_BP,1.459368,0.0271949649,1.3029219,0.116026865,1.0689126,0.775164918,False,shared_heat,1.33446149,0.922869257
GOBP_REGULATION_OF_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS,Regulation of Proteolysis Involved in Protein Catabolic Process,GO_BP,0.928454543,0.683098453,-0.960754435,0.621224896,1.30975541,0.417535,False,shared_heat,-0.897027839,0.919698284
GOBP_REGULATION_OF_RAS_PROTEIN_SIGNAL_TRANSDUCTION,Regulation of Ras Protein Signal Transduction,GO_BP,-0.881920994,0.686717376,-0.830998425,0.748728676,0.982577808,0.871249981,False,shared_heat,-0.887235053,1.08750269
GOBP_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_BIOSYNTHETIC_PROCESS,Regulation of Reactive Oxygen Species Biosynthetic Process,GO_BP,1.0701596,0.477221028,0.881094053,0.685006239,0.928101445,0.909215769,False,shared_heat,0.933670734,-0.702764809
GOBP_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS,Regulation of Reactive Oxygen Species Metabolic Process,GO_BP,1.38516061,0.112054273,1.27883266,0.219267281,0.90189064,0.950156705,False,shared_heat,1.28079223,-1.14296735
GOBP_REGULATION_OF_RECEPTOR_INTERNALIZATION,Regulation of Receptor Internalization,GO_BP,1.28254006,0.261757375,1.29534859,0.275399282,-0.870252919,0.950156705,False,shared_heat,1.23276839,-0.90112864
GOBP_REGULATION_OF_RECEPTOR_MEDIATED_ENDOCYTOSIS,Regulation of Receptor Mediated Endocytosis,GO_BP,1.63156335,0.036452893,1.60723766,0.0492929952,0.941042947,0.908267438,False,shared_heat,1.61525015,-0.882117654
GOBP_REGULATION_OF_RECEPTOR_SIGNALING_PATHWAY_VIA_JAK_STAT,Regulation of Receptor Signaling Pathway via JAK STAT,GO_BP,-1.02730801,0.509279934,-1.12454827,0.413634112,1.11014936,0.763057632,False,shared_heat,-1.00217116,-0.642288976
