"target","in_dorothea","in_collectri","t_wt","membership","abs_t","high_t"
"Abcb1b",TRUE,FALSE,-4.15202082,"DoRothEA-only",4.15202082,TRUE
"Sh3bp2",FALSE,TRUE,-4.14128231,"CollecTRI-only",4.14128231,TRUE
"Ndrg2",FALSE,TRUE,4.05867112,"CollecTRI-only",4.05867112,TRUE
"Txn1",FALSE,TRUE,4.05470534,"CollecTRI-only",4.05470534,TRUE
"Pfkfb2",FALSE,TRUE,-3.98048112,"CollecTRI-only",3.98048112,TRUE
"Abcb1a",TRUE,TRUE,3.94791367,"shared (both)",3.94791367,TRUE
"Kdm3a",TRUE,TRUE,3.92204777,"shared (both)",3.92204777,TRUE
"Lct",FALSE,TRUE,-3.82077834,"CollecTRI-only",3.82077834,TRUE
"Bid",FALSE,TRUE,-3.80895303,"CollecTRI-only",3.80895303,TRUE
"Kdm7a",FALSE,TRUE,-3.80091917,"CollecTRI-only",3.80091917,TRUE
"Cd24a",FALSE,TRUE,3.78994951,"CollecTRI-only",3.78994951,TRUE
"Il11",FALSE,TRUE,3.78721641,"CollecTRI-only",3.78721641,TRUE
"Bace1",FALSE,TRUE,-3.78601992,"CollecTRI-only",3.78601992,TRUE
"Cish",FALSE,TRUE,3.7684227,"CollecTRI-only",3.7684227,TRUE
"Tlr6",TRUE,TRUE,-3.7572361,"shared (both)",3.7572361,TRUE
"Pik3ca",FALSE,TRUE,3.70872216,"CollecTRI-only",3.70872216,TRUE
"Egf",FALSE,TRUE,-3.69944647,"CollecTRI-only",3.69944647,TRUE
"Npm1",FALSE,TRUE,-3.66731576,"CollecTRI-only",3.66731576,TRUE
"Mmp14",TRUE,FALSE,-3.66151211,"DoRothEA-only",3.66151211,TRUE
"Matk",FALSE,TRUE,-3.61972902,"CollecTRI-only",3.61972902,TRUE
"Pfkfb3",TRUE,TRUE,3.60954975,"shared (both)",3.60954975,TRUE
"Tlr2",TRUE,TRUE,3.56005324,"shared (both)",3.56005324,TRUE
"Pparg",FALSE,TRUE,3.54900365,"CollecTRI-only",3.54900365,TRUE
"Sema4d",FALSE,TRUE,-3.53913229,"CollecTRI-only",3.53913229,TRUE
"Park7",FALSE,TRUE,-3.48561581,"CollecTRI-only",3.48561581,TRUE
"Zfp217",TRUE,TRUE,-3.44304392,"shared (both)",3.44304392,TRUE
"Arnt2",FALSE,TRUE,3.38808737,"CollecTRI-only",3.38808737,TRUE
"Cdc25a",FALSE,TRUE,3.38632227,"CollecTRI-only",3.38632227,TRUE
"Il10",FALSE,TRUE,3.36953476,"CollecTRI-only",3.36953476,TRUE
"Aph1a",TRUE,TRUE,-3.36790333,"shared (both)",3.36790333,TRUE
"Eng",TRUE,FALSE,-3.32774064,"DoRothEA-only",3.32774064,TRUE
"Bax",TRUE,TRUE,-3.30682541,"shared (both)",3.30682541,TRUE
"Nr3c1",TRUE,TRUE,-3.25759166,"shared (both)",3.25759166,TRUE
"Ddit4",TRUE,TRUE,3.25348972,"shared (both)",3.25348972,TRUE
"Zfp667",FALSE,TRUE,-3.21501172,"CollecTRI-only",3.21501172,TRUE
"Mxi1",FALSE,TRUE,3.20675021,"CollecTRI-only",3.20675021,TRUE
"Mcl1",TRUE,TRUE,-3.16876158,"shared (both)",3.16876158,TRUE
"Id2",TRUE,TRUE,3.1467808,"shared (both)",3.1467808,TRUE
"Cd151",FALSE,TRUE,-3.09302543,"CollecTRI-only",3.09302543,TRUE
"Ctsd",FALSE,TRUE,-3.06312415,"CollecTRI-only",3.06312415,TRUE
"Xpa",FALSE,TRUE,-3.05384239,"CollecTRI-only",3.05384239,TRUE
"Wdr83",FALSE,TRUE,-3.04668367,"CollecTRI-only",3.04668367,TRUE
"Rps6kb1",FALSE,TRUE,2.99457735,"CollecTRI-only",2.99457735,TRUE
"Xiap",FALSE,TRUE,-2.99405048,"CollecTRI-only",2.99405048,TRUE
"Atp7a",FALSE,TRUE,-2.96739598,"CollecTRI-only",2.96739598,TRUE
"Tert",TRUE,TRUE,2.94399146,"shared (both)",2.94399146,TRUE
"Cad",FALSE,TRUE,-2.89392205,"CollecTRI-only",2.89392205,TRUE
"Slc11a2",FALSE,TRUE,-2.88125348,"CollecTRI-only",2.88125348,TRUE
"Mif",TRUE,TRUE,2.86604733,"shared (both)",2.86604733,TRUE
"Pgam1",TRUE,TRUE,2.80832446,"shared (both)",2.80832446,TRUE
"Slc9a1",FALSE,TRUE,-2.80518925,"CollecTRI-only",2.80518925,TRUE
"Plat",FALSE,TRUE,-2.74518806,"CollecTRI-only",2.74518806,TRUE
"Pik3c3",FALSE,TRUE,-2.74299129,"CollecTRI-only",2.74299129,TRUE
"Tlr4",TRUE,TRUE,2.70083311,"shared (both)",2.70083311,TRUE
"Capg",FALSE,TRUE,-2.64953942,"CollecTRI-only",2.64953942,TRUE
"Slc2a3",FALSE,TRUE,2.64641663,"CollecTRI-only",2.64641663,TRUE
"Birc5",TRUE,TRUE,-2.6204697,"shared (both)",2.6204697,TRUE
"Tff1",FALSE,TRUE,2.62020782,"CollecTRI-only",2.62020782,TRUE
"Spry2",FALSE,TRUE,-2.60186373,"CollecTRI-only",2.60186373,TRUE
"Pgk1",TRUE,TRUE,2.59241548,"shared (both)",2.59241548,TRUE
"Hmox1",TRUE,TRUE,2.5754022,"shared (both)",2.5754022,TRUE
"Vim",FALSE,TRUE,-2.57465499,"CollecTRI-only",2.57465499,TRUE
"Brca1",FALSE,TRUE,2.53202254,"CollecTRI-only",2.53202254,TRUE
"Kdm5b",FALSE,TRUE,2.48542568,"CollecTRI-only",2.48542568,TRUE
"Polm",FALSE,TRUE,-2.47564902,"CollecTRI-only",2.47564902,TRUE
"Flt1",TRUE,TRUE,2.47548349,"shared (both)",2.47548349,TRUE
"Apc",FALSE,TRUE,2.46865244,"CollecTRI-only",2.46865244,TRUE
"Kdm1a",FALSE,TRUE,2.4188159,"CollecTRI-only",2.4188159,TRUE
