"tf","target","aligned_contrib","is_stress_contaminant","member_class"
"Hif1a","Atp7a",-2.96739598,FALSE,"regulon member"
"Hif1a","Xiap",-2.99405048,FALSE,"regulon member"
"Hif1a","Wdr83",-3.04668367,FALSE,"regulon member"
"Hif1a","Xpa",-3.05384239,FALSE,"regulon member"
"Hif1a","Ctsd",-3.06312415,FALSE,"regulon member"
"Hif1a","Mcl1",-3.16876158,FALSE,"regulon member"
"Hif1a","Zfp667",-3.21501172,FALSE,"regulon member"
"Hif1a","Nr3c1",-3.25759166,FALSE,"regulon member"
"Hif1a","Bax",-3.30682541,FALSE,"regulon member"
"Hif1a","Aph1a",-3.36790333,FALSE,"regulon member"
"Hif1a","Cdc25a",-3.38632227,FALSE,"regulon member"
"Hif1a","Zfp217",-3.44304392,FALSE,"regulon member"
"Hif1a","Park7",-3.48561581,FALSE,"regulon member"
"Hif1a","Sema4d",-3.53913229,FALSE,"regulon member"
"Hif1a","Matk",-3.61972902,FALSE,"regulon member"
"Hif1a","Npm1",-3.66731576,FALSE,"regulon member"
"Hif1a","Egf",-3.69944647,FALSE,"regulon member"
"Hif1a","Tlr6",-3.7572361,FALSE,"regulon member"
"Hif1a","Bace1",-3.78601992,FALSE,"regulon member"
"Hif1a","Kdm7a",-3.80091917,FALSE,"regulon member"
"Hif1a","Lct",-3.82077834,FALSE,"regulon member"
"Hif1a","Pfkfb2",-3.98048112,FALSE,"regulon member"
"Hif1a","Sh3bp2",-4.14128231,FALSE,"regulon member"
"Hif1a","Ebp",-4.30597753,FALSE,"regulon member"
"Hif1a","Itgam",-4.31401445,FALSE,"regulon member"
"Hif1a","Lgals1",-4.35720343,FALSE,"regulon member"
"Hif1a","Kdm2a",-4.36238633,FALSE,"regulon member"
"Hif1a","Mmp15",-4.47409363,FALSE,"regulon member"
"Hif1a","Naa10",-4.57271892,FALSE,"regulon member"
"Hif1a","Ikbkb",-4.62578888,FALSE,"regulon member"
"Hif1a","Pten",-4.63382782,FALSE,"regulon member"
"Hif1a","App",-4.86068325,FALSE,"regulon member"
"Hif1a","Fech",-4.92295237,FALSE,"regulon member"
"Hif1a","Qsox1",-4.93820109,FALSE,"regulon member"
"Hif1a","Cox4i1",-4.9398693,FALSE,"regulon member"
"Hif1a","Tm9sf4",-4.9590935,FALSE,"regulon member"
"Hif1a","Mad1l1",-5.06650414,FALSE,"regulon member"
"Hif1a","Kdm5a",-5.12400834,FALSE,"regulon member"
"Hif1a","Fasn",-5.24567748,FALSE,"regulon member"
"Hif1a","Trp53",-5.30949686,FALSE,"regulon member"
"Hif1a","Dnase1",-5.35269764,FALSE,"regulon member"
"Hif1a","Prmt1",-5.42759804,FALSE,"regulon member"
"Hif1a","Sp1",-5.47154245,FALSE,"regulon member"
"Hif1a","Apln",-5.59297404,FALSE,"regulon member"
"Hif1a","Abl1",-5.66066284,FALSE,"regulon member"
"Hif1a","Cxcr4",-5.75780146,FALSE,"regulon member"
"Hif1a","Cybb",-6.00850931,FALSE,"regulon member"
"Hif1a","Xpc",-6.11794462,FALSE,"regulon member"
"Hif1a","Ass1",-6.15310839,FALSE,"regulon member"
"Hif1a","Kdm4b",-6.22222729,FALSE,"regulon member"
"Hif1a","Timp2",-6.37389556,FALSE,"regulon member"
"Hif1a","Nrp2",-6.41956917,FALSE,"regulon member"
"Hif1a","Atp13a2",-6.68900006,FALSE,"regulon member"
"Hif1a","Angptl4",-6.76846142,FALSE,"regulon member"
"Hif1a","Mlh1",-6.97795647,FALSE,"regulon member"
"Hif1a","Mmut",-7.08371318,FALSE,"regulon member"
"Hif1a","Sat1",-7.44100477,FALSE,"regulon member"
"Hif1a","Hif1a",-7.48596014,FALSE,"regulon member"
"Hif1a","Nfe2l2",-7.53589203,FALSE,"regulon member"
"Hif1a","Foxp3",-7.60676755,FALSE,"regulon member"
"Hif1a","Gata1",-7.67014518,FALSE,"regulon member"
"Hif1a","Tcirg1",-7.81673644,FALSE,"regulon member"
"Hif1a","Msh6",-8.2798084,FALSE,"regulon member"
"Hif1a","Btg2",-8.45541237,FALSE,"regulon member"
"Hif1a","Itgb3",-8.45825156,FALSE,"regulon member"
"Hif1a","Cx3cr1",-8.80400383,FALSE,"regulon member"
"Hif1a","Cdkn1b",-9.02931744,FALSE,"regulon member"
"Hif1a","Slc29a1",-10.1803238,FALSE,"regulon member"
"Hif1a","Mapk9",-10.9569605,FALSE,"regulon member"
"Hif1a","Lpin1",-11.2064445,FALSE,"regulon member"
"Hif1a","Pecam1",-12.3299572,FALSE,"regulon member"
"Hif1a","Abcc8",-12.8288852,FALSE,"regulon member"
"Hif1a","Slc22a5",-13.0061095,FALSE,"regulon member"
"Hif1a","Stat3",-13.479087,FALSE,"regulon member"
"Hif1a","Abca1",-18.9943599,FALSE,"regulon member"
"Hif1a","Hk2",9.71988286,FALSE,"regulon member"
"Hif1a","Aldoa",4.53935844,FALSE,"regulon member"
"Hif1a","Pgk1",2.59241548,FALSE,"regulon member"
"Hif1a","Ldha",0.429648896,FALSE,"regulon member"
"Hif1a","Eno1",0.0215029645,FALSE,"regulon member"
"Hif1a","Pkm",-0.229195093,FALSE,"regulon member"
"Stat2","Cbl",-0.120829229,FALSE,"regulon member"
"Stat2","Eif2ak2",-1.54539928,FALSE,"regulon member"
"Stat2","Samhd1",-15.0309988,FALSE,"regulon member"
"Stat2","Il21",3.29221656,FALSE,"regulon member"
"Stat2","Ifnb1",0.413771913,FALSE,"regulon member"
"Stat2","Jun",-1.26834548,FALSE,"regulon member"
"Stat2","Ifit2",-8.88101594,FALSE,"regulon member"
"Stat2","Pml",-2.59565485,FALSE,"regulon member"
"Stat2","H2-T23",-6.57602748,FALSE,"regulon member"
"Stat2","Nos2",5.51788649,FALSE,"regulon member"
"Stat2","Scarb1",-2.71006984,FALSE,"regulon member"
"Stat2","Ifit3",-2.5812821,FALSE,"regulon member"
"Stat2","Il6",0.533988604,FALSE,"regulon member"
"Stat2","Ifng",4.99436412,FALSE,"regulon member"
"Stat2","Nfkb2",9.27808042,FALSE,"regulon member"
"Stat2","Crebbp",-1.62410063,FALSE,"regulon member"
"Stat2","Oas1a",3.60324511,FALSE,"regulon member"
"Stat2","Irf9",-5.67396335,FALSE,"regulon member"
"Stat2","Sirpa",-1.30423043,FALSE,"regulon member"
"Stat2","Irf1",-6.10179662,FALSE,"regulon member"
