"ID","collection","share_fractional_unpinned","share_winner_take_all_unpinned","share_fractional_anchored","share_winner_take_all_anchored","arm","pinned","status","n_arm_hits","delta_fractional","delta_winner_take_all"
"GOMF_PEPTIDASE_INHIBITOR_ACTIVITY","GO_MF",0.0122836404,0.0100502513,0.0122836404,0.0100502513,"WT_heat_up",FALSE,NA,NA,0,0
"GOMF_PHOSPHATIDYLSERINE_BINDING","GO_MF",0.0123534338,0.00502512563,0.0123534338,0.00502512563,"WT_heat_up",FALSE,NA,NA,0,0
"HALLMARK_COAGULATION","Hallmark",0.0115358539,0.00502512563,0.0115358539,0.00502512563,"WT_heat_up",FALSE,NA,NA,0,0
"HALLMARK_P53_PATHWAY","Hallmark",0.0289562894,0.0150753769,0.0289562894,0.0150753769,"WT_heat_up",FALSE,NA,NA,0,0
"KEGG_ECM_RECEPTOR_INTERACTION","KEGG",0.0113902848,0.00502512563,0.0113902848,0.00502512563,"WT_heat_up",FALSE,NA,NA,0,0
"REACTOME_ATTACHMENT_AND_ENTRY","Reactome",0.00619765494,0.00502512563,0.00619765494,0.00502512563,"WT_heat_up",FALSE,NA,NA,0,0
"REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS","Reactome",0.0172034414,0.0100502513,0.0172034414,0.0100502513,"WT_heat_up",FALSE,NA,NA,0,0
"REACTOME_DEVELOPMENTAL_CELL_LINEAGES","Reactome",0.0160026322,0.0150753769,0.0160026322,0.0150753769,"WT_heat_up",FALSE,NA,NA,0,0
"REACTOME_EGFR_DOWNREGULATION","Reactome",0.0101399856,0.0100502513,0.0101399856,0.0100502513,"WT_heat_up",FALSE,NA,NA,0,0
"REACTOME_PI3K_AKT_SIGNALING_IN_CANCER","Reactome",0.00868030629,0,0.00868030629,0,"WT_heat_up",FALSE,NA,NA,0,0
"GOBP_RESPONSE_TO_OXYGEN_LEVELS","GO_BP",0,0,0.0190494393,0.00458715596,"KO_heat_up",TRUE,"tested, not enriched",11,0.0190494393,0.00458715596
"HALLMARK_HYPOXIA","Hallmark",0.0311637012,0.0183486239,0.0246652303,0.0183486239,"KO_heat_up",TRUE,"tested, enriched",19,-0.00649847095,0
"not claimed by any selected set","not claimed by any selected set",0.435779817,0.435779817,0.431192661,0.431192661,"KO_heat_up",FALSE,NA,NA,-0.00458715596,-0.00458715596
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","Hallmark",0.0443372122,0.114678899,0.0407512213,0.114678899,"KO_heat_up",FALSE,NA,NA,-0.00358599097,0
"GOBP_TISSUE_REMODELING","GO_BP",0.0271534149,0.0229357798,0.0242864424,0.0229357798,"KO_heat_up",FALSE,NA,NA,-0.00286697248,0
"GOBP_CELLULAR_RESPONSE_TO_OXYGEN_LEVELS","GO_BP",0,0,0.00261213048,0,"KO_heat_up",TRUE,"tested, not enriched",3,0.00261213048,0
"REACTOME_NGF_STIMULATED_TRANSCRIPTION","Reactome",0.0152905199,0.00917431193,0.0145259939,0.00917431193,"KO_heat_up",FALSE,NA,NA,-0.000764525994,0
"HALLMARK_IL2_STAT5_SIGNALING","Hallmark",0.0391874181,0.0275229358,0.0384228921,0.0275229358,"KO_heat_up",FALSE,NA,NA,-0.000764525994,0
