"set_id","set_label","origin","contrast","nes","padj","set_size","sig"
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE65083","GSE65083 · metabolic · CD4+ T helper (Th2) cells","WT_heat_up (generic thermal)","Temp_main",2.7263065,9.42823257e-14,46,TRUE
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE89069","GSE89069 · viral infection · embryonic brain (E17.5)","Interaction_up (cGAS-specific ISG)","Temp_main",-2.50844403,1.15762807e-10,48,TRUE
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE193605","GSE193605 · other · Neuro2a (N2a) neuroblastoma cells","Interaction_up (cGAS-specific ISG)","Temp_main",-2.50194571,1.44136484e-10,46,TRUE
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE62757","GSE62757 · viral infection · spinal cord","Interaction_up (cGAS-specific ISG)","Temp_main",-2.46810613,5.17847848e-10,46,TRUE
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE62758","GSE62758 · viral infection · spinal cord","Interaction_up (cGAS-specific ISG)","Temp_main",-2.45282275,7.02620858e-10,47,TRUE
"CORESH_Q_sig_Interaction_up_fdr_only_GSE94388","GSE94388 · nucleic acid sensing · fetal brain","Interaction_up (cGAS-specific ISG)","Temp_main",-2.43257684,7.02620858e-10,48,TRUE
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE169006","GSE169006 · metabolic · colonic CD4+ T cells (naive, effector, regulatory T cells)","WT_heat_up (generic thermal)","Temp_main",2.3890662,1.88402273e-08,48,TRUE
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE41833","GSE41833 · inflammation other · bone marrow-derived macrophages (BMDMs)","WT_heat_up (generic thermal)","Temp_main",2.38650894,2.85230945e-08,44,TRUE
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE163856","GSE163856 · thermal heat shock · skeletal muscle stem cells (satellite cells) and liver / muscle single nuclei","WT_heat_up (generic thermal)","Temp_main",1.98670859,0.000154529898,48,TRUE
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE48870","GSE48870 · developmental · B cell subsets from bone marrow, spleen, and small intestinal lamina propria","WT_heat_up (generic thermal)","Temp_main",1.40891688,0.0667047837,37,FALSE
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE80205","GSE80205 · other · Neuro2a (N2a) neuroblastoma cells and neural/stem cells","WT_heat_up (generic thermal)","Temp_main",-1.07746922,0.373333333,46,FALSE
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE212127","GSE212127 · cancer tumor · B16 melanoma tumor tissue","WT_heat_up (generic thermal)","Temp_main",-1.0620024,0.378947368,46,FALSE
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE174225","GSE174225 · cancer tumor · CD4+ and CD8+ tumor-infiltrating lymphocytes (TILs) and draining lymph node T cells","WT_heat_up (generic thermal)","Temp_main",1.03474034,0.378947368,49,FALSE
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE46185","GSE46185 · developmental · CD4+ Th2 cells","WT_heat_up (generic thermal)","WT_heat",2.76760807,1.23535436e-13,49,TRUE
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE65083","GSE65083 · metabolic · CD4+ T helper (Th2) cells","WT_heat_up (generic thermal)","WT_heat",2.73613911,1.23535436e-13,46,TRUE
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE41833","GSE41833 · inflammation other · bone marrow-derived macrophages (BMDMs)","WT_heat_up (generic thermal)","WT_heat",2.46346219,6.5929226e-09,44,TRUE
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE169006","GSE169006 · metabolic · colonic CD4+ T cells (naive, effector, regulatory T cells)","WT_heat_up (generic thermal)","WT_heat",2.4593006,6.5929226e-09,48,TRUE
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE89069","GSE89069 · viral infection · embryonic brain (E17.5)","Interaction_up (cGAS-specific ISG)","WT_heat",-2.30830336,1.18836803e-07,48,TRUE
"CORESH_Q_sig_Interaction_up_fdr_only_GSE94388","GSE94388 · nucleic acid sensing · fetal brain","Interaction_up (cGAS-specific ISG)","WT_heat",-2.141803,4.44553663e-06,48,TRUE
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE62758","GSE62758 · viral infection · spinal cord","Interaction_up (cGAS-specific ISG)","WT_heat",-2.08488864,4.21366705e-05,47,TRUE
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE193605","GSE193605 · other · Neuro2a (N2a) neuroblastoma cells","Interaction_up (cGAS-specific ISG)","WT_heat",-2.01684967,0.000144472552,46,TRUE
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE62757","GSE62757 · viral infection · spinal cord","Interaction_up (cGAS-specific ISG)","WT_heat",-1.99381849,0.000157464841,46,TRUE
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE163856","GSE163856 · thermal heat shock · skeletal muscle stem cells (satellite cells) and liver / muscle single nuclei","WT_heat_up (generic thermal)","WT_heat",1.98799009,0.000157464841,48,TRUE
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE48870","GSE48870 · developmental · B cell subsets from bone marrow, spleen, and small intestinal lamina propria","WT_heat_up (generic thermal)","WT_heat",1.41058525,0.0646711013,37,FALSE
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE212127","GSE212127 · cancer tumor · B16 melanoma tumor tissue","WT_heat_up (generic thermal)","WT_heat",-1.13649426,0.269230769,46,FALSE
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE174225","GSE174225 · cancer tumor · CD4+ and CD8+ tumor-infiltrating lymphocytes (TILs) and draining lymph node T cells","WT_heat_up (generic thermal)","WT_heat",1.10585777,0.286023835,49,FALSE
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE80205","GSE80205 · other · Neuro2a (N2a) neuroblastoma cells and neural/stem cells","WT_heat_up (generic thermal)","WT_heat",-1.02975977,0.41025641,46,FALSE
