"contrast","database","pathway_id","pathway_name","direction","nes","pvalue","padj","padj_pooled","set_size","n_tests_in_db","n_tests_pooled","sig_before_in_db","sig_after_in_db","sig_lost_in_db","core_enrichment"
"WT_heat","Reactome","REACTOME_RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE","Ribosome Quality Control Rqc Complex Extracts and Degrades Nascent Peptide","Down",-1.60639753,0.0109858617,0.101161476,0.0578540374,36,663,4787,49,67,-18,"Rpl36/Psmc2/Rpl18/Psmd13/Psma6/Ankzf1/Rbx1/Ubc/Rpl14/Psmd1/Psma4/Psmd3/Ube2d1/Psmc3/Psmb2/Psmd8/Psma7/Rplp0/Adrm1/Rchy1/Psma2/Psmb3"
"WT_heat","GO_MF","GOMF_PROTEIN_KINASE_C_BINDING","Protein Kinase C Binding","Up",1.56262261,0.0236083499,0.10125359,0.094650897,27,386,4787,64,64,0,"Plek/Itgav/Ywhag/Avpr1a/Sdc4/Grk5/Hspb1/Marcks/Pkp2/Cavin3"
"WT_heat","GO_BP","GOBP_ENSHEATHMENT_OF_NEURONS","Ensheathment of Neurons","Up",1.41814282,0.0335854512,0.101435705,0.117869175,61,2389,4787,546,508,38,"Nab2/Clu/Egr2/Xk/Plec/Ctsc/Mbp/Ntrk3/Ppard/Nf1/Sos1/Rara/Tnfrsf1b/Gpc1/Pmp22/Ndrg1/Sirt2/Tgfb1/Hras/Tnf/Akt2"
"WT_heat","GO_BP","GOBP_HIPPOCAMPUS_DEVELOPMENT","Hippocampus Development","Up",1.50840567,0.0337231155,0.101722882,0.118265607,28,2389,4787,546,508,38,"Nr4a3/Atp2b4/Kdm6b/Cdk6/Srf/Hdac1/Pafah1b1/Nf2/Rara/Ywhae/Ogdh"
"WT_heat","WikiPathways","WP_SIGNAL_TRANSDUCTION_THROUGH_IL1R","Signal Transduction Through IL-1r","Up",1.60404301,0.0178215354,0.101802469,0.0792859572,25,417,4787,51,57,-6,"Irak2/Nfkb1/Map2k3/Il1a/Tgfb1/Tnf/Myd88/Map2k6"
"WT_heat","GO_BP","GOBP_LYMPHOCYTE_APOPTOTIC_PROCESS","Lymphocyte Apoptotic Process","Up",1.46996991,0.0339011531,0.102130965,0.1185426,39,2389,4787,546,508,38,"Lgals3/Perp/Fasl/Il2/Adam8/Cd274/Hif1a/Cd74/Bcl10/Ccl5/Il7r"
"WT_heat","GO_BP","GOBP_TRANSLATION","Translation","Up",1.29010201,0.0340651681,0.102495827,0.118942348,193,2389,4787,546,508,38,"Dap/Plxnb2/Rps6ka1/Eef1e1/Aplp1/Abce1/Foxo3/Metap1/Eif4e/Eif4ebp1/Map3k20/Zfp36l1/Usp16/Thbs1/Eif3j1/Etf1/Eif3j2/Hspb1/Nolc1/Ybx2/Mrps22/Ago2/Tars/Krt17/Rara/Rps12/Eif2s1/Iars/Gzmb/Ccl5/Eif1b/Eif1/Cyfip1/Tnf/Prkch/Atxn2/Akt2/Eprs/Mrps30/Grb7/Pkp3/Polr2g/Gspt1/Paip1/Eif3d/Dars/Eif3a/Rps27l/Cpeb2/Mrps31/Ptcd3/Mettl3/Mrpl15/Rps5/Bcl3/Dnajc1/Shmt1/Ppp1r15b/Mrps12/Upf1/Nck1"
"WT_heat","GO_BP","GOBP_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_DIFFERENTIATION","Columnar Cuboidal Epithelial Cell Differentiation","Up",1.49243599,0.0341925082,0.10262048,0.1191263,32,2389,4787,546,508,38,"Cebpb/Serpine1/Ipo7/Hif1a/Nfe2l1/Klf5/E2f4/Rara/Ext1/Gpat4/Tgfb1/Plk4/Il13/Map1b/Insm1/Bmp2"
"WT_heat","GO_BP","GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_WOUNDING","Negative Regulation of Response to Wounding","Up",1.48107279,0.0341624025,0.10262048,0.1191263,35,2389,4787,546,508,38,"Spp1/Serpine1/Plaur/Sh2b3/Pdgfb/Thbs1/Anxa2/Pdgfa/Smad3/Prkcd/Serpinb2/Plau/Tnf/Pros1/Il33/Tmx1"
"WT_heat","GO_MF","GOMF_MACROMOLECULAR_CONFORMATION_ISOMERASE_ACTIVITY","Macromolecular Conformation Isomerase Activity","Up",1.40919195,0.0242900328,0.103032447,0.0963350348,86,386,4787,64,64,0,"Myo1c/Top1/Ddx18/Myh10/Kif13b/G3bp1/Myl6b/Kif5b/Ruvbl2/Kif5c/Znfx1/Ifih1/Dhx58/Kif3b/Appbp2/Myo9b/Hells/Rad51/Mcm3/Helz2/Dhx15/Rad54l/Ddx10/Mcm4/Polq/Upf1/Mtrex/Dscc1/Ddx21"
"WT_heat","GO_BP","GOBP_AMINE_METABOLIC_PROCESS","Amine Metabolic Process","Up",1.4857919,0.0346467249,0.10372309,0.120271118,33,2389,4787,546,508,38,"Gch1/Nr4a2/Amd1/Atp2b4/Odc1/Itgb2/Aldh7a1/Srm/Maoa/Gde1/Insm1/Comt"
"WT_heat","GO_BP","GOBP_HORMONE_MEDIATED_SIGNALING_PATHWAY","Hormone Mediated Signaling Pathway","Up",1.3892184,0.0346074162,0.10372309,0.120221844,76,2389,4787,546,508,38,"Aldh1a2/Jak2/Ar/Pak1/Dab2/Nr4a3/Rxra/Fkbp4/Lats1/Hdac1/Ppard/Hdac2/Rara/Skp2/Pim1/Errfi1/Kdm3a/Kmt2d/Zmiz1/Pparg/Dhrs3"
"WT_heat","GO_BP","GOBP_REGULATION_OF_VIRAL_PROCESS","Regulation of Viral Process","Up",1.41504157,0.034702757,0.103760809,0.120378332,60,2389,4787,546,508,38,"Axl/Furin/Bst2/Stom/Tyro3/Oas3/Plscr1/Srpk1/Bsg/Znfx1/Ifih1/Isg20/Ccl5/Lgals1/Tnf/Oasl1/Isg15/Oas1a/Oas2/Lamp3/Ifitm1/Ltf/Banf1/Trim25/Mx2/Notch1/Nectin2/Rsad2"
"WT_heat","Reactome","REACTOME_TRANSLOCATION_OF_SLC2A4_GLUT4_TO_THE_PLASMA_MEMBRANE","Translocation of Slc2a4 Glut4 to the Plasma Membrane","Up",1.62474077,0.0114396855,0.103897417,0.0593945493,32,663,4787,49,67,-18,"Myo1c/Sfn/Ywhag/Actg1/Exoc4/Kifap3/Kif3b/Ywhaq/Actb/Ywhae/Akt2/Prkaa2/Rab14/Ywhah"
"WT_heat","GO_BP","GOBP_ALPHA_AMINO_ACID_BIOSYNTHETIC_PROCESS","alpha Amino Acid Biosynthetic Process","Up",1.50093573,0.0348936882,0.104201276,0.120865474,29,2389,4787,546,508,38,"Plod3/Plod2/Gls2/Glud1/Atp2b4/Asns/Plod1/Pycr1/Cth/Psph"
"WT_heat","GO_BP","GOBP_REGULATION_OF_PROTEIN_EXPORT_FROM_NUCLEUS","Regulation of Protein Export from Nucleus","Up",1.54451167,0.0350532113,0.104286578,0.120893172,17,2389,4787,546,508,38,"Sfn/Bag3/Ifi27/Ywhae/Xpo1/Prkaca/Ptpn11"
"WT_heat","GO_BP","GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE_BY_P53_CLASS_MEDIATOR","Intrinsic Apoptotic Signaling Pathway in Response to DNA Damage by p53 Class ...","Up",1.5230053,0.0350136837,0.104286578,0.120893172,22,2389,4787,546,508,38,"Cd44/Cdkn1a/Aen/Muc1/Phlda3/Nupr1/Cd74/Ddit4/Rps27l/Mif/Bcl3"
"WT_heat","GO_BP","GOBP_B_CELL_MEDIATED_IMMUNITY","B Cell Mediated Immunity","Up",1.41251954,0.0349944303,0.104286578,0.120893172,64,2389,4787,546,508,38,"C3/Lta/Il9/Il2/Cd70/Clu/Cd40lg/Exo1/Tfrc/Nsd2/Hspd1/Batf/Cd74/Prkcd/Bcl10/Il4/Tgfb1/Tnf/Myd88/C1s1"
