database,n_overlap_before_alias,gene_set,n_unique_set_genes,n_matched,n_matched_via_alias,n_alias_flagged_for_review,n_alias_rejected_ambiguous,n_expression_filtered,n_below_detection,n_absent_from_reference,set_size_resolved,n_alias_collapsed,reference_vocabulary_available,alias_pairs_applied,alias_pairs_flagged,alias_pairs_rejected
GO_BP,1,GOBP_ANAGEN,2,1,0,0,0,0,1,0,1,0,FALSE,->,->,->
GO_BP,8,GOBP_ANAPHASE_PROMOTING_COMPLEX_DEPENDENT_CATABOLIC_PROCESS,8,8,0,0,0,0,0,0,8,0,FALSE,->,->,->
GO_BP,7,GOBP_ANATOMICAL_STRUCTURE_ARRANGEMENT,8,7,0,0,0,0,1,0,7,0,FALSE,->,->,->
GO_BP,433,GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS,553,433,2,0,5,0,113,0,435,0,FALSE,Pals1->Mpp5/Wars1->Wars,->,Klk1b8->Klk8/Klk1b9->Klk9/Krt1->Krt86/Nkx3-1->Bax/Prok2->Prok1
GO_BP,82,GOBP_ANATOMICAL_STRUCTURE_MATURATION,101,82,0,0,0,0,19,0,82,0,FALSE,->,->,->
GO_BP,6,GOBP_ANATOMICAL_STRUCTURE_REGRESSION,8,6,0,0,0,0,2,0,6,0,FALSE,->,->,->
GO_BP,2,GOBP_ANDROGEN_BIOSYNTHETIC_PROCESS,5,2,0,0,0,0,3,0,2,0,FALSE,->,->,->
GO_BP,3,GOBP_ANDROGEN_CATABOLIC_PROCESS,4,3,0,0,0,0,1,0,3,0,FALSE,->,->,->
GO_BP,10,GOBP_ANDROGEN_METABOLIC_PROCESS,16,10,0,0,0,0,6,0,10,0,FALSE,->,->,->
GO_BP,17,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,20,17,0,0,1,0,2,0,17,0,FALSE,->,->,Nkx3-1->Bax
