matrix_symbol,current_symbol,entrez_id,resolution,mapped_after_normalisation,normalisation_source,org_mm_eg_db_version
Gm12216,Carinh,622459,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm12657,H3f5,667250,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm13212,Zfp268,433801,accepted,TRUE,org.Mm.eg.db,3.22.0
Gm13502,Idi1-ps1,102635781,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm14131,Fndc10l,241715,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm14139,Zfp1004,100271882,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm14327,Zfp1003,665205,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm14597,4933416I08Rik,71159,accepted,TRUE,org.Mm.eg.db,3.22.0
Gm14698,Styx-ps,100040244,accepted,TRUE,org.Mm.eg.db,3.22.0
Gm15247,Gm15247x,100379606,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm15753,Sp110-ps2,624083,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm15975,Tent2-ps1,100417530,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm16157,Altre,100504026,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm16286,Naa12,117903916,accepted,TRUE,org.Mm.eg.db,3.22.0
Gm17018,Dpcd,226162,accepted,TRUE,org.Mm.eg.db,3.22.0
Gm17251,Rab11bos1,115488819,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm18852,Gvin-ps2,100417829,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm18853,Gvin-ps4,100417831,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm1966,Gvin3,434223,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm20033,Gm38457,102634072,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm20075,Btf3l4b,100504125,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm20219,Tincr,100504425,accepted,TRUE,org.Mm.eg.db,3.22.0
Gm2115,Ctxnd1,100039239,accepted,TRUE,org.Mm.eg.db,3.22.0
Gm21762,Tcstv6b,102631530,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm21885,Ankrd40cl,102639132,accepted,TRUE,org.Mm.eg.db,3.22.0
Gm22486,Snord94,115490493,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm22574,Snord138,115488275,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm22865,Snord3b-ps2,19853,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm2415,1700024F20Rik,100039768,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm35060,Tex51,102638514,accepted,TRUE,org.Mm.eg.db,3.22.0
Gm3531,Btf3-ps1,100041823,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm37494,Gm33989,102637087,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm38391,B430319G15Rik,78575,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm38394,Zbed6,667118,accepted,TRUE,org.Mm.eg.db,3.22.0
Gm4032,Btf3-ps18,102635341,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm4070,Gvin2,100042856,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm42372,Pnma8c,105247240,accepted,TRUE,org.Mm.eg.db,3.22.0
Gm42601,Gm33100,102635874,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm4356,Gng5c,100043318,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm45224,Fam136a-ps,102632427,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm45456,Gm6314,622335,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm45716,Smim36,121811722,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm47087,5330432J10Rik,320151,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm4737,Ahcyl,11615,accepted,TRUE,org.Mm.eg.db,3.22.0
Gm4759,Gvin-ps6,209380,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm4869,Kif19b,101055939,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm48960,4921515G04Rik,115488525,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm4926,Timd7-ps,237749,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm49359,Zfp935,71508,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm4951,Iigp1c,240327,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm4969,Meiosin,243866,accepted,TRUE,org.Mm.eg.db,3.22.0
Gm50217,4933403J19Rik,115489026,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm5152,Speer1c,381612,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm5434,Ube2frt,432649,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm5566,Nme-ps1,433968,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm5741,Gng14,100503710,accepted,TRUE,org.Mm.eg.db,3.22.0
Gm5861,Speer1e,545728,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm6583,Ccdc121rt3,625424,accepted,TRUE,org.Mm.eg.db,3.22.0
Gm6851,Pin4-ps,105247253,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm6977,Fth1-ps,629471,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm7879,Ppihl,665989,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm8430,Rps27a-ps3,667035,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm8857,Speer1k,667880,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm8879,Speer1g,667916,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm8890,Speer1d,667948,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm8897,Speer1f,667961,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm8906,Speer1j,101055944,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm8979,Gvin-ps3,668108,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm8989,Gvin-ps5,668128,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm8995,Gvin4,668139,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm9030,Cdc5lrt3-ps,668187,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm9308,Btf3-ps4,668700,accepted,FALSE,org.Mm.eg.db,3.22.0
Gm9774,Adrm1b,100043022,accepted,TRUE,org.Mm.eg.db,3.22.0
Gm9803,Pam16l,100042179,accepted,TRUE,org.Mm.eg.db,3.22.0
Gm9833,Myef2l,100041480,accepted,TRUE,org.Mm.eg.db,3.22.0
Gm9844,Tmsb10b,100043712,accepted,FALSE,org.Mm.eg.db,3.22.0
Grasp,Tamalin,56149,accepted,TRUE,org.Mm.eg.db,3.22.0
H2bu2,H2bc27,78303,accepted,TRUE,org.Mm.eg.db,3.22.0
Hist1h2ao,H2ac23,665433,accepted,TRUE,org.Mm.eg.db,3.22.0
Impad1,Bpnt2,242291,accepted,TRUE,org.Mm.eg.db,3.22.0
Lilr4b,Lilrb4b,14727,accepted,TRUE,org.Mm.eg.db,3.22.0
Lrmp,Irag2,16970,accepted,TRUE,org.Mm.eg.db,3.22.0
Lrrc29,Fbxl9,234684,accepted,TRUE,org.Mm.eg.db,3.22.0
Maats1,Cfap91,320214,accepted,TRUE,org.Mm.eg.db,3.22.0
Map11,Trappc14,231807,accepted,TRUE,org.Mm.eg.db,3.22.0
