pathway_id,pathway_name,database,contrast,nes,pvalue,padj,set_size,core_enrichment,direction
TF_Apex1,Apex1,CollecTRI,Geno_at_37,0.36284726233309356,0.7167228814907436,0.9798003399347788,33,Apex1/Cd19/Actb/Osgep/Nqo1/Blk/Slc5a5/Car2/Hhex/Abcb1a/Hap1/Mnt/Gal/Lig1/Lig3/Ogg1/Pold1/Xrcc1/Pten/Tnf/Gfra1/Il6/Socs3/Brca1/Cdkn1a/Trpv6/Hira/Mgmt/Mpg/Polb/Tg/Nfkb1/Rela,Up
TF_Apex1,Apex1,CollecTRI,Geno_at_39,0.30990444988809834,0.7566369006160626,0.9757313304979699,33,Apex1/Cd19/Actb/Osgep/Nqo1/Blk/Slc5a5/Car2/Hhex/Abcb1a/Hap1/Mnt/Gal/Lig1/Lig3/Ogg1/Pold1/Xrcc1/Pten/Tnf/Gfra1/Il6/Socs3/Brca1/Cdkn1a/Trpv6/Hira/Mgmt/Mpg/Polb/Tg/Nfkb1/Rela,Up
TF_Apex1,Apex1,CollecTRI,Geno_main,0.43321067653351997,0.6648664717734152,0.9714496507023326,33,Apex1/Cd19/Actb/Osgep/Nqo1/Blk/Slc5a5/Car2/Hhex/Abcb1a/Hap1/Mnt/Gal/Lig1/Lig3/Ogg1/Pold1/Xrcc1/Pten/Tnf/Gfra1/Il6/Socs3/Brca1/Cdkn1a/Trpv6/Hira/Mgmt/Mpg/Polb/Tg/Nfkb1/Rela,Up
TF_Apex1,Apex1,CollecTRI,Interaction,-0.005565282326669862,0.9955596264941311,0.9968179786913128,33,Apex1/Cd19/Actb/Osgep/Nqo1/Blk/Slc5a5/Car2/Hhex/Abcb1a/Hap1/Mnt/Gal/Lig1/Lig3/Ogg1/Pold1/Xrcc1/Pten/Tnf/Gfra1/Il6/Socs3/Brca1/Cdkn1a/Trpv6/Hira/Mgmt/Mpg/Polb/Tg/Nfkb1/Rela,Down
TF_Apex1,Apex1,CollecTRI,KO_heat,0.687563514013578,0.49173579521617927,0.6958325876392386,33,Apex1/Cd19/Actb/Osgep/Nqo1/Blk/Slc5a5/Car2/Hhex/Abcb1a/Hap1/Mnt/Gal/Lig1/Lig3/Ogg1/Pold1/Xrcc1/Pten/Tnf/Gfra1/Il6/Socs3/Brca1/Cdkn1a/Trpv6/Hira/Mgmt/Mpg/Polb/Tg/Nfkb1/Rela,Up
TF_Apex1,Apex1,CollecTRI,Temp_main,0.7058930103096897,0.4802630316060458,0.6884816444374251,33,Apex1/Cd19/Actb/Osgep/Nqo1/Blk/Slc5a5/Car2/Hhex/Abcb1a/Hap1/Mnt/Gal/Lig1/Lig3/Ogg1/Pold1/Xrcc1/Pten/Tnf/Gfra1/Il6/Socs3/Brca1/Cdkn1a/Trpv6/Hira/Mgmt/Mpg/Polb/Tg/Nfkb1/Rela,Up
TF_Apex1,Apex1,CollecTRI,WT_heat,0.7056445765750976,0.48041754917265844,0.685715287105443,33,Apex1/Cd19/Actb/Osgep/Nqo1/Blk/Slc5a5/Car2/Hhex/Abcb1a/Hap1/Mnt/Gal/Lig1/Lig3/Ogg1/Pold1/Xrcc1/Pten/Tnf/Gfra1/Il6/Socs3/Brca1/Cdkn1a/Trpv6/Hira/Mgmt/Mpg/Polb/Tg/Nfkb1/Rela,Up
TF_Ar,Ar,CollecTRI,Geno_at_37,-0.06484105437828903,0.9483012122267866,0.9975049347486656,383,Prkaca/Tgfb1i1/Acot11/Ar/Ncoa4/Star/Dnm1l/Src/Myc/Cdkn1a/Pias1/Lcp1/Sp1/Il6/Arhgdia/Crebbp/Hspa9/Nr3c1/Ache/Trf/Axin1/Ret/Smad3/Kat2b/Trp53/Jun/Sf1/Bcl2/Fgf2/Ceacam1/Plau/Pcsk1/Cd82/Kat5/Gstp1/Pten/Akt1/Pik3r1/Rara/Pa2g4/Rpl3/Pecr/Eno2/Txn1/Fasl/Cyp11a1/Ercc3/Appl1/Gtf2f1/Ighg1,Down
TF_Ar,Ar,CollecTRI,Geno_at_39,0.21695010243018856,0.8282494804554499,0.9827741719724574,383,Prkaca/Tgfb1i1/Acot11/Ar/Ncoa4/Star/Dnm1l/Src/Myc/Cdkn1a/Pias1/Lcp1/Sp1/Il6/Arhgdia/Crebbp/Hspa9/Nr3c1/Ache/Trf/Axin1/Ret/Smad3/Kat2b/Trp53/Jun/Sf1/Bcl2/Fgf2/Ceacam1/Plau/Pcsk1/Cd82/Kat5/Gstp1/Pten/Akt1/Pik3r1/Rara/Pa2g4/Rpl3/Pecr/Eno2/Txn1/Fasl/Cyp11a1/Ercc3/Appl1/Gtf2f1/Ighg1,Up
TF_Ar,Ar,CollecTRI,Geno_main,0.11090482033324484,0.9116929542289854,0.9768538453111302,383,Prkaca/Tgfb1i1/Acot11/Ar/Ncoa4/Star/Dnm1l/Src/Myc/Cdkn1a/Pias1/Lcp1/Sp1/Il6/Arhgdia/Crebbp/Hspa9/Nr3c1/Ache/Trf/Axin1/Ret/Smad3/Kat2b/Trp53/Jun/Sf1/Bcl2/Fgf2/Ceacam1/Plau/Pcsk1/Cd82/Kat5/Gstp1/Pten/Akt1/Pik3r1/Rara/Pa2g4/Rpl3/Pecr/Eno2/Txn1/Fasl/Cyp11a1/Ercc3/Appl1/Gtf2f1/Ighg1,Up
TF_Ar,Ar,CollecTRI,Interaction,0.22864241116465656,0.8191492342842748,0.9741296628147563,383,Prkaca/Tgfb1i1/Acot11/Ar/Ncoa4/Star/Dnm1l/Src/Myc/Cdkn1a/Pias1/Lcp1/Sp1/Il6/Arhgdia/Crebbp/Hspa9/Nr3c1/Ache/Trf/Axin1/Ret/Smad3/Kat2b/Trp53/Jun/Sf1/Bcl2/Fgf2/Ceacam1/Plau/Pcsk1/Cd82/Kat5/Gstp1/Pten/Akt1/Pik3r1/Rara/Pa2g4/Rpl3/Pecr/Eno2/Txn1/Fasl/Cyp11a1/Ercc3/Appl1/Gtf2f1/Ighg1,Up
TF_Ar,Ar,CollecTRI,KO_heat,2.832605310693111,0.004621726690242496,0.03620352574023288,383,Prkaca/Tgfb1i1/Acot11/Ar/Ncoa4/Star/Dnm1l/Src/Myc/Cdkn1a/Pias1/Lcp1/Sp1/Il6/Arhgdia/Crebbp/Hspa9/Nr3c1/Ache/Trf/Axin1/Ret/Smad3/Kat2b/Trp53/Jun/Sf1/Bcl2/Fgf2/Ceacam1/Plau/Pcsk1/Cd82/Kat5/Gstp1/Pten/Akt1/Pik3r1/Rara/Pa2g4/Rpl3/Pecr/Eno2/Txn1/Fasl/Cyp11a1/Ercc3/Appl1/Gtf2f1/Ighg1,Up
TF_Ar,Ar,CollecTRI,Temp_main,2.9498454966217995,0.003183071338879256,0.02649858611098685,383,Prkaca/Tgfb1i1/Acot11/Ar/Ncoa4/Star/Dnm1l/Src/Myc/Cdkn1a/Pias1/Lcp1/Sp1/Il6/Arhgdia/Crebbp/Hspa9/Nr3c1/Ache/Trf/Axin1/Ret/Smad3/Kat2b/Trp53/Jun/Sf1/Bcl2/Fgf2/Ceacam1/Plau/Pcsk1/Cd82/Kat5/Gstp1/Pten/Akt1/Pik3r1/Rara/Pa2g4/Rpl3/Pecr/Eno2/Txn1/Fasl/Cyp11a1/Ercc3/Appl1/Gtf2f1/Ighg1,Up
TF_Ar,Ar,CollecTRI,WT_heat,2.9905986715328807,0.0027877572536305593,0.02413610885380142,383,Prkaca/Tgfb1i1/Acot11/Ar/Ncoa4/Star/Dnm1l/Src/Myc/Cdkn1a/Pias1/Lcp1/Sp1/Il6/Arhgdia/Crebbp/Hspa9/Nr3c1/Ache/Trf/Axin1/Ret/Smad3/Kat2b/Trp53/Jun/Sf1/Bcl2/Fgf2/Ceacam1/Plau/Pcsk1/Cd82/Kat5/Gstp1/Pten/Akt1/Pik3r1/Rara/Pa2g4/Rpl3/Pecr/Eno2/Txn1/Fasl/Cyp11a1/Ercc3/Appl1/Gtf2f1/Ighg1,Up
TF_Arid1a,Arid1a,CollecTRI,Geno_at_37,0.05473083234697884,0.9563534611546076,0.9975049347486656,6,Smarca2/Il10/Cdh1/Cdkn1a/Smad3/Ar,Up
TF_Arid1a,Arid1a,CollecTRI,Geno_at_39,0.6007216012292065,0.5480323480953376,0.9667702011976734,6,Smarca2/Il10/Cdh1/Cdkn1a/Smad3/Ar,Up
TF_Arid1a,Arid1a,CollecTRI,Geno_main,0.44842447963285165,0.6538518156601929,0.9714496507023326,6,Smarca2/Il10/Cdh1/Cdkn1a/Smad3/Ar,Up
TF_Arid1a,Arid1a,CollecTRI,Interaction,0.46224145353658347,0.6439132899692896,0.9736904894277564,6,Smarca2/Il10/Cdh1/Cdkn1a/Smad3/Ar,Up
TF_Arid1a,Arid1a,CollecTRI,KO_heat,1.2956714663666116,0.19510389449854845,0.43371068439204347,6,Smarca2/Il10/Cdh1/Cdkn1a/Smad3/Ar,Up
TF_Arid1a,Arid1a,CollecTRI,Temp_main,1.4085282786318698,0.15899049967172688,0.3778222635716741,6,Smarca2/Il10/Cdh1/Cdkn1a/Smad3/Ar,Up
TF_Arid1a,Arid1a,CollecTRI,WT_heat,1.4865248053503684,0.13715638274016106,0.3444614497825419,6,Smarca2/Il10/Cdh1/Cdkn1a/Smad3/Ar,Up
TF_Arid1b,Arid1b,CollecTRI,Geno_at_37,0.701835009349228,0.48279036393627606,0.9730277056151729,5,Ncam1/Tnfrsf10b/Il2ra/Cr2/Smarca4,Up
