"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","arm","ontology","iea_variant","n_query_annotated","n_universe_annotated","term_size","fold_enrichment","simplify_kept","cluster_id","cluster_size","cluster_representative","k_null_matched_mean","k_null_matched_q95","p_matched","frac_matched_reaching_q","k_null_uniform_mean","p_uniform","frac_uniform_reaching_q"
"GO:0022407","regulation of cell-cell adhesion","17/186","325/11390",0.0523076923076923,3.20314309346567,5.19184113733386,2.31791754851505e-05,0.00150099294909938,0.00121162519352417,"ADAM8/CD40LG/CD70/CD80/EMILIN2/EPCAM/HSPH1/IL1A/IL1RN/IL2/IL23A/NR4A3/PLAUR/SDC4/TNFSF11/TNFSF14/TNFSF9",17,"WT_heat_up","BP","no_iea",186,11390,325,3.20314309346567,FALSE,11,7,"positive regulation of cell-cell adhesion",NA,NA,NA,NA,NA,NA,NA
"GO:2001233","regulation of apoptotic signaling pathway","14/186","232/11390",0.0603448275862069,3.69530960326288,5.34407065124421,2.65059650810009e-05,0.00167555564976327,0.001352534960023,"ATF3/CD40LG/CLU/CSF2/FASLG/HSPA1A/IL1A/INHBA/LTA/NR4A2/PLAUR/SERPINE1/TNFSF11/TNFSF14",14,"WT_heat_up","BP","no_iea",186,11390,232,3.69530960326288,FALSE,6,23,"G protein-coupled receptor signaling pathway",NA,NA,NA,NA,NA,NA,NA
"GO:0006959","humoral immune response","10/186","122/11390",0.0819672131147541,5.019390093425,5.75081467705562,3.00042331322423e-05,0.00185258695270008,0.00149543742123,"ADM/C3/CALCA/CCL20/CCL22/CCL3/CCL4/CD83/CLU/GPR183",10,"WT_heat_up","BP","no_iea",186,11390,122,5.019390093425,TRUE,13,5,"humoral immune response",NA,NA,NA,NA,NA,NA,NA
"GO:0072677","eosinophil migration","4/186","12/11390",0.333333333333333,20.4121863799283,8.66851747891594,3.07646115102659e-05,0.00185636462635809,0.00149848681901678,"ADAM8/CCL22/CCL3/CCL4",4,"WT_heat_up","BP","no_iea",186,11390,12,20.4121863799283,FALSE,7,18,"positive regulation of cell migration",NA,NA,NA,NA,NA,NA,NA
"GO:0007159","leukocyte cell-cell adhesion","15/186","275/11390",0.0545454545454545,3.34017595307918,5.06142544742542,4.4208492895581e-05,0.00260830108083928,0.00210546179030182,"ADAM8/CALCA/CD40LG/CD70/CD80/HSPH1/IL1A/IL2/IL23A/NR4A3/OLR1/SDC4/TNFSF11/TNFSF14/TNFSF9",15,"WT_heat_up","BP","no_iea",186,11390,275,3.34017595307918,TRUE,11,7,"positive regulation of cell-cell adhesion",NA,NA,NA,NA,NA,NA,NA
"GO:0007189","adenylate cyclase-activating G protein-coupled receptor signaling pathway","9/186","103/11390",0.087378640776699,5.35076730347635,5.71489064362511,4.5615349749512e-05,0.00263279899097727,0.0021252368899315,"ADCY4/ADM/ADORA2A/ADORA2B/APLP1/ATP2B4/CALCA/PTGER2/S1PR3",9,"WT_heat_up","BP","no_iea",186,11390,103,5.35076730347635,FALSE,6,23,"G protein-coupled receptor signaling pathway",NA,NA,NA,NA,NA,NA,NA
"GO:0050671","positive regulation of lymphocyte proliferation","8/186","81/11390",0.0987654320987654,6.04805522368246,5.87445015550864,5.05852912361921e-05,0.00278725213476685,0.00224991390480139,"CD40LG/CD70/CD80/GPR183/IL1A/IL2/IL23A/TNFSF9",8,"WT_heat_up","BP","no_iea",186,11390,81,6.04805522368246,FALSE,1,24,"positive regulation of cell population proliferation",NA,NA,NA,NA,NA,NA,NA
"GO:2001235","positive regulation of apoptotic signaling pathway","8/186","81/11390",0.0987654320987654,6.04805522368246,5.87445015550864,5.05852912361921e-05,0.00278725213476685,0.00224991390480139,"ATF3/CD40LG/CLU/FASLG/INHBA/LTA/TNFSF11/TNFSF14",8,"WT_heat_up","BP","no_iea",186,11390,81,6.04805522368246,FALSE,6,23,"G protein-coupled receptor signaling pathway",NA,NA,NA,NA,NA,NA,NA
"GO:0042102","positive regulation of T cell proliferation","7/186","60/11390",0.116666666666667,7.14426523297491,6.14813427114601,5.14408115267706e-05,0.00278725213476685,0.00224991390480139,"CD40LG/CD70/CD80/IL1A/IL2/IL23A/TNFSF9",7,"WT_heat_up","BP","no_iea",186,11390,60,7.14426523297491,TRUE,1,24,"positive regulation of cell population proliferation",NA,NA,NA,NA,NA,NA,NA
"GO:0002521","leukocyte differentiation","18/186","383/11390",0.0469973890339426,2.8779583929925,4.81685516856598,5.45641289796854e-05,0.00287787939612363,0.00232306966022706,"ADAM8/ANXA2/BATF3/CALCA/CCL3/CD80/CSF2/EOMES/EPHA2/GPR183/IL1A/IL2/IL23A/INHBA/KLRC1/TNFRSF11B/TNFSF11/TNFSF9",18,"WT_heat_up","BP","no_iea",186,11390,383,2.8779583929925,FALSE,9,15,"positive regulation of cell differentiation",NA,NA,NA,NA,NA,NA,NA
