"arm","ontology","iea_variant","ID","cluster_id","Description","p.adjust","Count","cluster_size","cluster_representative","cluster_min_padj"
"WT_heat_up","BP","with_iea","GO:0030193",7,"regulation of blood coagulation",0.00435683678552123,6,19,"response to wounding",3.74651045292467e-05
"WT_heat_up","BP","with_iea","GO:0008015",8,"blood circulation",0.00446698259175828,16,12,"tissue remodeling",4.43350331575523e-05
"WT_heat_up","BP","with_iea","GO:0002573",18,"myeloid leukocyte differentiation",0.00446698259175828,12,31,"positive regulation of cell development",0.00116665492851909
"WT_heat_up","BP","with_iea","GO:0050671",9,"positive regulation of lymphocyte proliferation",0.00446698259175828,9,21,"positive regulation of cell activation",7.48043675535837e-05
"WT_heat_up","BP","with_iea","GO:0150076",22,"neuroinflammatory response",0.00485542614865633,7,5,"acute inflammatory response",0.00375328653765685
"WT_heat_up","BP","with_iea","GO:0030098",18,"lymphocyte differentiation",0.00485542614865633,17,31,"positive regulation of cell development",0.00116665492851909
"WT_heat_up","BP","with_iea","GO:0032946",12,"positive regulation of mononuclear cell proliferation",0.00485542614865633,9,23,"leukocyte proliferation",0.000438689922351499
"WT_heat_up","BP","with_iea","GO:0120255",23,"olefinic compound biosynthetic process",0.00485542614865633,4,2,"olefinic compound biosynthetic process",0.00485542614865633
"WT_heat_up","BP","with_iea","GO:0002548",2,"monocyte chemotaxis",0.00485542614865633,5,29,"positive regulation of cell migration",1.50042459533541e-06
"WT_heat_up","BP","with_iea","GO:0120254",23,"olefinic compound metabolic process",0.00494605687294052,8,2,"olefinic compound biosynthetic process",0.00485542614865633
"WT_heat_up","BP","with_iea","GO:1900046",11,"regulation of hemostasis",0.00495559567574362,6,15,"regulation of body fluid levels",0.000326939861902462
"WT_heat_up","BP","with_iea","GO:0019730",15,"antimicrobial humoral response",0.00500091361206343,7,8,"response to bacterium",0.000947414405690874
"WT_heat_up","BP","with_iea","GO:0001503",8,"ossification",0.00516087213637159,15,12,"tissue remodeling",4.43350331575523e-05
"WT_heat_up","BP","with_iea","GO:0044706",8,"multi-multicellular organism process",0.00531778438605464,10,12,"tissue remodeling",4.43350331575523e-05
"WT_heat_up","BP","with_iea","GO:0046651",9,"lymphocyte proliferation",0.00584242890728966,13,21,"positive regulation of cell activation",7.48043675535837e-05
