"rank","ID","Description","term_size","k_obs","p_adjust_hypergeometric","p_matched","frac_matched_reaching_q","k_null_matched_mean","simplify_kept"
37,"GO:0045744","negative regulation of G protein-coupled receptor signaling pathway",48,7,0.000834613425,0.000499750125,0.0151915456,1.361,TRUE
38,"GO:0050673","epithelial cell proliferation",312,17,0.000834613425,0.0554722639,0.425,11.806,TRUE
39,"GO:0050729","positive regulation of inflammatory response",136,11,0.000871524586,0.00699650175,0.131155779,5.0665,FALSE
40,"GO:0001707","mesoderm formation",49,7,0.000912376026,0.00249875062,0.035962877,1.8615,TRUE
41,"GO:0048598","embryonic morphogenesis",423,20,0.000985613187,0.0494752624,0.379,13.9055,FALSE
42,"GO:0048332","mesoderm morphogenesis",50,7,0.000993770813,0.00349825087,0.0426758939,1.9055,FALSE
43,"GO:0050900","leukocyte migration",287,16,0.000993770813,0.0449775112,0.3205,10.2695,TRUE
44,"GO:0008277","regulation of G protein-coupled receptor signaling pathway",115,10,0.000998411961,0.00249875062,0.0347510373,3.2095,FALSE
45,"GO:0031349","positive regulation of defense response",463,21,0.000998411961,0.124437781,0.548,16.3115,FALSE
46,"GO:1903532","positive regulation of secretion by cell",225,14,0.000998411961,0.0229885057,0.237118559,8.0125,TRUE
47,"GO:0001890","placenta development",116,10,0.00101426067,0.003998001,0.0957230143,3.9425,TRUE
48,"GO:0030595","leukocyte chemotaxis",169,12,0.00101426067,0.0144927536,0.154577289,6.064,FALSE
49,"GO:0044057","regulation of system process",358,18,0.00101426067,0.0419790105,0.3165,12.003,TRUE
50,"GO:2001238","positive regulation of extrinsic apoptotic signaling pathway",51,7,0.00101426067,0.00349825087,0.0387828162,1.8075,FALSE
51,"GO:0010720","positive regulation of cell development",360,18,0.00103500894,0.193903048,0.6425,14.76,TRUE
52,"GO:0071674","mononuclear cell migration",170,12,0.00103500894,0.019990005,0.168668669,6.3725,FALSE
53,"GO:0030316","osteoclast differentiation",96,9,0.00124790886,0.00149925037,0.050672182,3.1035,TRUE
54,"GO:0045766","positive regulation of angiogenesis",120,10,0.00124790886,0.0139930035,0.14661274,4.5515,FALSE
55,"GO:0050818","regulation of coagulation",54,7,0.00124790886,0.00099950025,0.0272067715,1.691,TRUE
56,"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide",54,7,0.00124790886,0.00099950025,0.00552486188,1.2155,TRUE
