"gene_symbol","ensembl","logFC","AveExpr","t","P.Value","adj.P.Val","contrast"
"Tcea3","ENSMUSG00000001604.14",-0.329943266,1.28588861,-3.93659601,0.000463535383,0.00121173124,"Temp_main"
"Mtmr11","ENSMUSG00000045934.15",0.286609823,1.93817502,3.93582292,0.000464512712,0.00121412481,"Temp_main"
"Rgs1","ENSMUSG00000026358.13",-0.197639895,8.32508094,-4.26002621,0.000464597112,0.00121418414,"Temp_main"
"Avil","ENSMUSG00000025432.11",0.391918062,0.0453385681,3.93567316,0.000464702271,0.0012142977,"Temp_main"
"Gm5532","ENSMUSG00000073535.5",-0.37970776,-0.197393946,-3.93516267,0.000465348993,0.00121566479,"Temp_main"
"Mrpl15","ENSMUSG00000033845.13",0.0926453468,6.18951124,3.93516269,0.000465348968,0.00121566479,"Temp_main"
"Gm9517","ENSMUSG00000104103.1",-0.207207757,2.74660499,-3.93505725,0.000465482657,0.00121585256,"Temp_main"
"Gm12276","ENSMUSG00000081944.1",-0.302267713,1.76888769,-3.93426263,0.000466491367,0.00121832563,"Temp_main"
"Morn2","ENSMUSG00000045257.10",0.306875835,0.765805354,3.93418556,0.000466589317,0.00121841974,"Temp_main"
"Alg6","ENSMUSG00000073792.11",0.165070166,3.86910399,3.93368948,0.000467220272,0.0012199055,"Temp_main"
"Fam91a1","ENSMUSG00000037119.4",0.0991137526,7.07800725,3.93276154,0.000468402748,0.00122283068,"Temp_main"
"Gm44510","ENSMUSG00000108443.1",0.320421456,-0.675308034,3.93203384,0.000469332111,0.00122509439,"Temp_main"
"Ndufaf6","ENSMUSG00000050323.14",0.18412893,3.10403494,3.93168888,0.0004697733,0.00122608339,"Temp_main"
"Rom1","ENSMUSG00000071648.4",-0.247369142,1.63798286,-3.9311784,0.000470426917,0.00122762648,"Temp_main"
"Cox7b","ENSMUSG00000031231.4",-0.133038589,6.60751845,-3.95905777,0.000470505558,0.0012276689,"Temp_main"
"Gm45001","ENSMUSG00000108842.1",0.371357145,0.646103262,3.93014327,0.00047175505,0.00123076596,"Temp_main"
"Gm37510","ENSMUSG00000104378.1",0.384212687,-0.191034836,3.92926323,0.000472887075,0.00123353525,"Temp_main"
"A130012E19Rik","ENSMUSG00000112822.1",0.365405311,1.02467122,3.92922067,0.00047294189,0.00123353525,"Temp_main"
"Slfn1","ENSMUSG00000078763.2",-0.278086073,3.95962975,-4.07372297,0.000474994607,0.001238725,"Temp_main"
"Gm26749","ENSMUSG00000097546.1",0.328786214,0.173771221,3.9273387,0.000475371944,0.00123954478,"Temp_main"
"Trbv17","ENSMUSG00000076474.3",-0.273380335,1.63128988,-3.92559853,0.000477629785,0.00124526716,"Temp_main"
"Set","ENSMUSG00000054766.13",-0.0862267765,8.53766846,-3.92450157,0.000479058472,0.00124882656,"Temp_main"
"Nr1d1","ENSMUSG00000020889.11",-0.213331175,2.61517962,-3.92438263,0.000479213636,0.00124906558,"Temp_main"
"Agbl5","ENSMUSG00000029165.17",0.12228969,4.58683608,3.92272583,0.00048138008,0.00125454623,"Temp_main"
"Rexo4","ENSMUSG00000052406.14",-0.0932585919,6.40873391,-3.92241288,0.000481790364,0.00125544923,"Temp_main"
"Ltf","ENSMUSG00000032496.7",0.327293436,1.40213753,3.92152721,0.000482953382,0.00125827308,"Temp_main"
"Gm8184","ENSMUSG00000117877.1",0.213459251,2.94144315,3.92149029,0.000483001925,0.00125827308,"Temp_main"
"Gm18284","ENSMUSG00000092325.2",0.355754045,1.17995389,3.92041476,0.000484418081,0.0012617617,"Temp_main"
"Ndufs8","ENSMUSG00000059734.7",-0.112147074,5.68279428,-3.92037592,0.000484469301,0.0012617617,"Temp_main"
"5830487J09Rik","ENSMUSG00000104830.1",-0.2962988,-0.265921732,-3.92026153,0.00048462018,0.00126198763,"Temp_main"
"Mrnip","ENSMUSG00000020381.10",-0.287516753,2.06287622,-3.91939077,0.000485770163,0.0012648149,"Temp_main"
"Gpr108","ENSMUSG00000005823.9",0.0956813269,5.57141882,3.91738397,0.000488430671,0.00127157391,"Temp_main"
"Gfra4","ENSMUSG00000027316.15",-0.332118519,-0.378808488,-3.91732153,0.00048851369,0.00127162181,"Temp_main"
"Apold1","ENSMUSG00000090698.2",-0.332607079,0.439931301,-3.91709966,0.000488808753,0.00127222159,"Temp_main"
"Zfp738","ENSMUSG00000048280.18",-0.154354222,4.81878258,-3.91627606,0.000489905595,0.00127490772,"Temp_main"
"Rnf181","ENSMUSG00000055850.12",-0.0913500318,5.91881529,-3.91452196,0.000492249689,0.00128083851,"Temp_main"
"Abcf2","ENSMUSG00000028953.10",0.081581531,7.33680144,3.91363804,0.000493435068,0.00128375313,"Temp_main"
"Rps4l","ENSMUSG00000063171.4",0.351416253,1.59599216,3.91343649,0.000493705755,0.00128428758,"Temp_main"
"Terf1","ENSMUSG00000025925.14",0.100963338,5.26222175,3.91297549,0.000494325415,0.00128572956,"Temp_main"
"Snx14","ENSMUSG00000032422.18",0.133258586,4.51057821,3.91230386,0.000495229577,0.00128791104,"Temp_main"
"Zc3h11a","ENSMUSG00000102976.6",-0.125808175,4.53416917,-3.91154428,0.000496254081,0.00129040487,"Temp_main"
"Prps1l3","ENSMUSG00000079104.4",0.0885078599,6.34004239,3.91034363,0.000497877734,0.0012944558,"Temp_main"
"Leo1","ENSMUSG00000042487.6",0.100342806,6.05525228,3.91000453,0.000498337235,0.00129547932,"Temp_main"
"Adgrg1","ENSMUSG00000031785.16",0.167341722,5.13776788,3.9350474,0.00050043415,0.00130075864,"Temp_main"
"Gm16845","ENSMUSG00000096981.2",-0.273579105,1.42476267,-3.90774285,0.000501412645,0.00130312988,"Temp_main"
"Gm12403","ENSMUSG00000082186.2",0.298117492,-0.282074599,3.90762136,0.00050157838,0.00130338848,"Temp_main"
"Cage1","ENSMUSG00000044566.15",-0.310817261,0.55921189,-3.90692884,0.000502524071,0.00130567351,"Temp_main"
"Gm1859","ENSMUSG00000118240.1",-0.195896644,2.74277157,-3.90621362,0.000503502597,0.00130804325,"Temp_main"
"Trbv14","ENSMUSG00000076471.3",-0.254627081,1.93836198,-3.90540056,0.00050461725,0.00131076595,"Temp_main"
"Gm807","ENSMUSG00000097848.2",0.256357571,-0.771222961,3.90527584,0.000504788457,0.00131103762,"Temp_main"
"Gm44037","ENSMUSG00000107726.1",-0.392898422,0.402237312,-3.90491462,0.0005052846,0.00131215303,"Temp_main"
"Ppp1r16b","ENSMUSG00000037754.13",-0.100403861,7.53567021,-3.90472873,0.000505540112,0.00131264334,"Temp_main"
"Tm9sf3","ENSMUSG00000025016.11",0.0800149865,8.68508955,3.90411169,0.000506389162,0.00131467445,"Temp_main"
"mt-Tl1","ENSMUSG00000064340.1",0.310115536,1.60766565,3.90362801,0.000507055691,0.00131623123,"Temp_main"
"Lysmd3","ENSMUSG00000035840.7",0.181059792,4.81124457,3.9325194,0.000508054982,0.00131865128,"Temp_main"
"Psmc3ip","ENSMUSG00000019303.14",0.179096351,3.76623813,3.90254985,0.000508544519,0.0013197478,"Temp_main"
"Unc5a","ENSMUSG00000025876.15",-0.283064397,-0.414158005,-3.90178989,0.00050959651,0.0013223035,"Temp_main"
"Gm49794","ENSMUSG00000116879.1",-0.33787091,0.331983379,-3.90122421,0.000510380961,0.00132416439,"Temp_main"
"Ubxn1","ENSMUSG00000071655.12",-0.0847187752,6.97785194,-3.90066025,0.000511164195,0.00132602165,"Temp_main"
