query_name,gse,gpl,pctVar,pval,size,rank
Q_sig_WT_heat_up,GSE13147,GPL1261,1.66011424,NA,84,306
Q_sig_WT_heat_up,GSE34351,GPL1261,1.65675927,NA,103,307
Q_sig_WT_heat_up,GSE224030,GPL24247,1.65640565,NA,82,308
Q_sig_WT_heat_up,GSE118146,GPL25426,1.65473156,NA,96,309
Q_sig_WT_heat_up,GSE189974,GPL19057,1.65442936,NA,79,310
Q_sig_WT_heat_up,GSE189975,GPL19057,1.65442936,NA,79,311
Q_sig_WT_heat_up,GSE158456,GPL24247,1.65192195,NA,51,312
Q_sig_WT_heat_up,GSE115754,GPL6246,1.65026352,NA,72,313
Q_sig_WT_heat_up,GSE182566,GPL24247,1.64959823,NA,100,314
Q_sig_WT_heat_up,GSE161524,GPL16417,1.64915221,NA,124,315
Q_sig_WT_heat_up,GSE149778,GPL24247,1.64904267,NA,92,316
Q_sig_WT_heat_up,GSE214122,GPL13112,1.64893923,NA,97,317
Q_sig_WT_heat_up,GSE128197,GPL17021,1.64743977,NA,72,318
Q_sig_WT_heat_up,GSE98725,GPL17021,1.63727645,NA,86,319
Q_sig_WT_heat_up,GSE98726,GPL17021,1.63727645,NA,86,320
Q_sig_WT_heat_up,GSE53349,GPL11533,1.63617465,NA,73,321
Q_sig_WT_heat_up,GSE205600,GPL1261,1.63534811,NA,95,322
Q_sig_WT_heat_up,GSE231556,GPL24247,1.63369141,NA,51,323
Q_sig_WT_heat_up,GSE140517,GPL10787,1.63352875,NA,102,324
Q_sig_WT_heat_up,GSE167303,GPL19057,1.63115513,NA,67,325
Q_sig_WT_heat_up,GSE167304,GPL19057,1.63115513,NA,67,326
Q_sig_WT_heat_up,GSE67953,GPL6246,1.62986334,NA,104,327
Q_sig_WT_heat_up,GSE192956,GPL24247,1.62864654,NA,84,328
Q_sig_WT_heat_up,GSE163080,GPL21103,1.62528991,NA,93,329
Q_sig_WT_heat_up,GSE145384,GPL17021,1.61921105,NA,99,330
Q_sig_WT_heat_up,GSE96696,GPL6887,1.61626354,NA,106,331
