"tf","regulon_class","target","mor","t_wt","aligned_contrib","is_stress_contaminant"
"Hif1a","promiscuous","Prnp",1,-1.85244320641332,-1.85244320641332,FALSE
"Hif1a","promiscuous","Mmp17",1,-1.87987091569244,-1.87987091569244,FALSE
"Hif1a","promiscuous","Arnt",1,-1.91100053563526,-1.91100053563526,FALSE
"Hif1a","promiscuous","Alas2",1,-1.98358842522841,-1.98358842522841,FALSE
"Hif1a","promiscuous","Hgfac",1,-2.07648699790598,-2.07648699790598,FALSE
"Hif1a","promiscuous","Src",1,-2.15375009059343,-2.15375009059343,FALSE
"Hif1a","promiscuous","Senp1",-1,2.18970934346218,-2.18970934346218,FALSE
"Hif1a","promiscuous","Gapdh",1,-2.27605573933245,-2.27605573933245,FALSE
"Hif1a","promiscuous","Tnni3",1,-2.28691912759401,-2.28691912759401,FALSE
"Hif1a","promiscuous","Cp",1,-2.31907927644443,-2.31907927644443,FALSE
"Hif1a","promiscuous","Ptger1",1,-2.3195706396558,-2.3195706396558,FALSE
"Hif1a","promiscuous","Ncor2",1,-2.38232108441185,-2.38232108441185,FALSE
"Hif1a","promiscuous","Kdm1a",-1,2.41881589981296,-2.41881589981296,FALSE
"Hif1a","promiscuous","Apc",-1,2.46865244145749,-2.46865244145749,FALSE
"Hif1a","promiscuous","Polm",1,-2.47564902282584,-2.47564902282584,FALSE
"Hif1a","promiscuous","Vim",1,-2.57465498678175,-2.57465498678175,FALSE
"Hif1a","promiscuous","Birc5",1,-2.62046970401772,-2.62046970401772,FALSE
"Hif1a","promiscuous","Capg",1,-2.64953941654869,-2.64953941654869,FALSE
"Hif1a","promiscuous","Pik3c3",1,-2.74299128780707,-2.74299128780707,FALSE
"Hif1a","promiscuous","Plat",1,-2.74518805801711,-2.74518805801711,FALSE
"Hif1a","promiscuous","Slc9a1",1,-2.80518924981921,-2.80518924981921,FALSE
"Hif1a","promiscuous","Slc11a2",1,-2.88125348122128,-2.88125348122128,FALSE
"Hif1a","promiscuous","Cad",1,-2.89392205327488,-2.89392205327488,FALSE
"Hif1a","promiscuous","Atp7a",1,-2.9673959754957,-2.9673959754957,FALSE
"Hif1a","promiscuous","Xiap",1,-2.99405048491073,-2.99405048491073,FALSE
"Hif1a","promiscuous","Wdr83",1,-3.04668367451649,-3.04668367451649,FALSE
"Hif1a","promiscuous","Xpa",1,-3.0538423881592,-3.0538423881592,FALSE
"Hif1a","promiscuous","Ctsd",1,-3.06312414533807,-3.06312414533807,FALSE
"Hif1a","promiscuous","Mcl1",1,-3.16876157769455,-3.16876157769455,FALSE
"Hif1a","promiscuous","Zfp667",1,-3.21501172143032,-3.21501172143032,FALSE
"Hif1a","promiscuous","Nr3c1",1,-3.2575916579471,-3.2575916579471,FALSE
"Hif1a","promiscuous","Bax",1,-3.30682540503532,-3.30682540503532,FALSE
"Hif1a","promiscuous","Aph1a",1,-3.36790332903159,-3.36790332903159,FALSE
"Hif1a","promiscuous","Cdc25a",-1,3.38632226586329,-3.38632226586329,FALSE
"Hif1a","promiscuous","Zfp217",1,-3.44304391613318,-3.44304391613318,FALSE
"Hif1a","promiscuous","Park7",1,-3.48561581322229,-3.48561581322229,FALSE
"Hif1a","promiscuous","Sema4d",1,-3.53913228670978,-3.53913228670978,FALSE
"Hif1a","promiscuous","Matk",1,-3.61972902157623,-3.61972902157623,FALSE
"Hif1a","promiscuous","Npm1",1,-3.66731575549222,-3.66731575549222,FALSE
"Hif1a","promiscuous","Egf",1,-3.69944647181259,-3.69944647181259,FALSE
"Hif1a","promiscuous","Tlr6",1,-3.75723610464876,-3.75723610464876,FALSE
"Hif1a","promiscuous","Bace1",1,-3.78601992404384,-3.78601992404384,FALSE
"Hif1a","promiscuous","Kdm7a",1,-3.80091917219676,-3.80091917219676,FALSE
"Hif1a","promiscuous","Lct",1,-3.82077833537038,-3.82077833537038,FALSE
"Hif1a","promiscuous","Pfkfb2",1,-3.98048111927452,-3.98048111927452,FALSE
"Hif1a","promiscuous","Sh3bp2",1,-4.14128231193665,-4.14128231193665,FALSE
"Hif1a","promiscuous","Ebp",1,-4.30597753251118,-4.30597753251118,FALSE
"Hif1a","promiscuous","Itgam",1,-4.31401444516013,-4.31401444516013,FALSE
"Hif1a","promiscuous","Lgals1",-1,4.35720343415945,-4.35720343415945,FALSE
"Hif1a","promiscuous","Kdm2a",1,-4.36238633274805,-4.36238633274805,FALSE
"Hif1a","promiscuous","Mmp15",1,-4.47409363235062,-4.47409363235062,FALSE
"Hif1a","promiscuous","Naa10",1,-4.5727189235745,-4.5727189235745,FALSE
