"source","target","t_wt","contrib","module","isoform_attribution","direction"
"Hif1a","Afp",-0.667009926959797,-0.667009926959797,"other_unclassified","unclassified","Down"
"Hif1a","Tubb3",-0.713587880740794,-0.713587880740794,"other_unclassified","unclassified","Down"
"Hif1a","Fbln5",-0.721001168649866,-0.721001168649866,"other_unclassified","unclassified","Down"
"Hif1a","Muc3a",-0.743710155250621,-0.743710155250621,"other_unclassified","unclassified","Down"
"Hif1a","Arc",-0.806964071084402,-0.806964071084402,"other_unclassified","unclassified","Down"
"Hif1a","Rbms1",-0.902554081828641,-0.902554081828641,"other_unclassified","unclassified","Down"
"Hif1a","Hs2st1",-0.956234097346068,-0.956234097346068,"other_unclassified","unclassified","Down"
"Hif1a","Kdr",-0.980218700331007,-0.980218700331007,"other_unclassified","unclassified","Down"
"Hif1a","Pfkfb1",-1.02762097980364,-1.02762097980364,"other_unclassified","unclassified","Down"
"Hif1a","Tnfsf13b",-1.02892486482858,-1.02892486482858,"other_unclassified","unclassified","Down"
"Hif1a","Hmox2",-1.06794043844966,-1.06794043844966,"other_unclassified","unclassified","Down"
"Hif1a","Rapgef3",-1.0685245761739,-1.0685245761739,"other_unclassified","unclassified","Down"
"Hif1a","Bhlhe41",-1.08652805101899,-1.08652805101899,"other_unclassified","unclassified","Down"
"Hif1a","Ccna2",-1.0956458413725,-1.0956458413725,"other_unclassified","unclassified","Down"
"Hif1a","Lifr",1.09980708889036,-1.09980708889036,"other_unclassified","unclassified","Down"
"Hif1a","Hdc",-1.13383094296413,-1.13383094296413,"other_unclassified","unclassified","Down"
"Hif1a","Rac1",-1.14533642064613,-1.14533642064613,"other_unclassified","unclassified","Down"
"Hif1a","Trf",-1.15238568219917,-1.15238568219917,"other_unclassified","unclassified","Down"
"Hif1a","Kitl",-1.15838799347125,-1.15838799347125,"other_unclassified","unclassified","Down"
"Hif1a","Slc29a2",-1.26173359936352,-1.26173359936352,"other_unclassified","unclassified","Down"
"Hif1a","Jun",-1.26834547682528,-1.26834547682528,"other_unclassified","unclassified","Down"
"Hif1a","Nampt",-1.30202889915064,-1.30202889915064,"other_unclassified","unclassified","Down"
"Hif1a","Nt5e",-1.33918837595791,-1.33918837595791,"other_unclassified","unclassified","Down"
"Hif1a","Cited2",-1.36637299865587,-1.36637299865587,"other_unclassified","unclassified","Down"
