"target","in_dorothea","in_collectri","t_wt","membership","abs_t","high_t"
"Cish",FALSE,TRUE,3.76842270311315,"collectri_only",3.76842270311315,TRUE
"Tlr6",TRUE,TRUE,-3.75723610464876,"both",3.75723610464876,TRUE
"Pik3ca",FALSE,TRUE,3.70872215942354,"collectri_only",3.70872215942354,TRUE
"Egf",FALSE,TRUE,-3.69944647181259,"collectri_only",3.69944647181259,TRUE
"Npm1",FALSE,TRUE,-3.66731575549222,"collectri_only",3.66731575549222,TRUE
"Mmp14",TRUE,FALSE,-3.66151211104503,"dorothea_only",3.66151211104503,TRUE
"Matk",FALSE,TRUE,-3.61972902157623,"collectri_only",3.61972902157623,TRUE
"Pfkfb3",TRUE,TRUE,3.60954975455625,"both",3.60954975455625,TRUE
"Tlr2",TRUE,TRUE,3.56005323682291,"both",3.56005323682291,TRUE
"Pparg",FALSE,TRUE,3.54900365103618,"collectri_only",3.54900365103618,TRUE
"Sema4d",FALSE,TRUE,-3.53913228670978,"collectri_only",3.53913228670978,TRUE
"Park7",FALSE,TRUE,-3.48561581322229,"collectri_only",3.48561581322229,TRUE
"Zfp217",TRUE,TRUE,-3.44304391613318,"both",3.44304391613318,TRUE
"Arnt2",FALSE,TRUE,3.38808736930842,"collectri_only",3.38808736930842,TRUE
"Cdc25a",FALSE,TRUE,3.38632226586329,"collectri_only",3.38632226586329,TRUE
"Il10",FALSE,TRUE,3.3695347624915,"collectri_only",3.3695347624915,TRUE
"Aph1a",TRUE,TRUE,-3.36790332903159,"both",3.36790332903159,TRUE
"Eng",TRUE,FALSE,-3.32774063764198,"dorothea_only",3.32774063764198,TRUE
"Bax",TRUE,TRUE,-3.30682540503532,"both",3.30682540503532,TRUE
"Nr3c1",TRUE,TRUE,-3.2575916579471,"both",3.2575916579471,TRUE
"Ddit4",TRUE,TRUE,3.25348972176229,"both",3.25348972176229,TRUE
"Zfp667",FALSE,TRUE,-3.21501172143032,"collectri_only",3.21501172143032,TRUE
"Mxi1",FALSE,TRUE,3.20675020731611,"collectri_only",3.20675020731611,TRUE
"Mcl1",TRUE,TRUE,-3.16876157769455,"both",3.16876157769455,TRUE
"Id2",TRUE,TRUE,3.14678079604904,"both",3.14678079604904,TRUE
"Cd151",FALSE,TRUE,-3.09302542756921,"collectri_only",3.09302542756921,TRUE
"Ctsd",FALSE,TRUE,-3.06312414533807,"collectri_only",3.06312414533807,TRUE
"Xpa",FALSE,TRUE,-3.0538423881592,"collectri_only",3.0538423881592,TRUE
"Wdr83",FALSE,TRUE,-3.04668367451649,"collectri_only",3.04668367451649,TRUE
"Rps6kb1",FALSE,TRUE,2.99457735212111,"collectri_only",2.99457735212111,TRUE
"Xiap",FALSE,TRUE,-2.99405048491073,"collectri_only",2.99405048491073,TRUE
"Atp7a",FALSE,TRUE,-2.9673959754957,"collectri_only",2.9673959754957,TRUE
"Tert",TRUE,TRUE,2.94399145667695,"both",2.94399145667695,TRUE
"Cad",FALSE,TRUE,-2.89392205327488,"collectri_only",2.89392205327488,TRUE
"Slc11a2",FALSE,TRUE,-2.88125348122128,"collectri_only",2.88125348122128,TRUE
"Mif",TRUE,TRUE,2.86604732843626,"both",2.86604732843626,TRUE
"Pgam1",TRUE,TRUE,2.80832446269756,"both",2.80832446269756,TRUE
"Slc9a1",FALSE,TRUE,-2.80518924981921,"collectri_only",2.80518924981921,TRUE
"Plat",FALSE,TRUE,-2.74518805801711,"collectri_only",2.74518805801711,TRUE
"Pik3c3",FALSE,TRUE,-2.74299128780707,"collectri_only",2.74299128780707,TRUE
"Tlr4",TRUE,TRUE,2.70083310642827,"both",2.70083310642827,TRUE
"Capg",FALSE,TRUE,-2.64953941654869,"collectri_only",2.64953941654869,TRUE
"Slc2a3",FALSE,TRUE,2.64641662693957,"collectri_only",2.64641662693957,TRUE
"Birc5",TRUE,TRUE,-2.62046970401772,"both",2.62046970401772,TRUE
"Tff1",FALSE,TRUE,2.62020782421357,"collectri_only",2.62020782421357,TRUE
"Spry2",FALSE,TRUE,-2.60186372830016,"collectri_only",2.60186372830016,TRUE
"Pgk1",TRUE,TRUE,2.59241547851486,"both",2.59241547851486,TRUE
"Hmox1",TRUE,TRUE,2.57540219730917,"both",2.57540219730917,TRUE
"Vim",FALSE,TRUE,-2.57465498678175,"collectri_only",2.57465498678175,TRUE
"Brca1",FALSE,TRUE,2.5320225368738,"collectri_only",2.5320225368738,TRUE
"Kdm5b",FALSE,TRUE,2.48542567824949,"collectri_only",2.48542567824949,TRUE
"Polm",FALSE,TRUE,-2.47564902282584,"collectri_only",2.47564902282584,TRUE
"Flt1",TRUE,TRUE,2.47548348589301,"both",2.47548348589301,TRUE
"Apc",FALSE,TRUE,2.46865244145749,"collectri_only",2.46865244145749,TRUE
"Kdm1a",FALSE,TRUE,2.41881589981296,"collectri_only",2.41881589981296,TRUE
"Epor",FALSE,TRUE,2.38617335662577,"collectri_only",2.38617335662577,TRUE
"Ncor2",FALSE,TRUE,-2.38232108441185,"collectri_only",2.38232108441185,TRUE
"Atrip",FALSE,TRUE,2.37998023817142,"collectri_only",2.37998023817142,TRUE
"Ptger1",FALSE,TRUE,-2.3195706396558,"collectri_only",2.3195706396558,TRUE
"Cp",TRUE,TRUE,-2.31907927644443,"both",2.31907927644443,TRUE
"Tnni3",FALSE,TRUE,-2.28691912759401,"collectri_only",2.28691912759401,TRUE
"Gapdh",FALSE,TRUE,-2.27605573933245,"collectri_only",2.27605573933245,TRUE
"Senp1",FALSE,TRUE,2.18970934346218,"collectri_only",2.18970934346218,TRUE
"Sdhb",FALSE,TRUE,-2.18509695409235,"collectri_only",2.18509695409235,TRUE
"Esr1",FALSE,TRUE,2.16849078444419,"collectri_only",2.16849078444419,TRUE
"Src",FALSE,TRUE,-2.15375009059343,"collectri_only",2.15375009059343,TRUE
"Aqp4",FALSE,TRUE,2.11098599122926,"collectri_only",2.11098599122926,TRUE
"Poli",TRUE,FALSE,2.11085918782766,"dorothea_only",2.11085918782766,TRUE
"Aqp1",TRUE,TRUE,2.08865320121538,"both",2.08865320121538,TRUE
"Hgfac",FALSE,TRUE,-2.07648699790598,"collectri_only",2.07648699790598,TRUE
"Psmc6",FALSE,TRUE,2.05918802917882,"collectri_only",2.05918802917882,TRUE
"Hey1",TRUE,TRUE,1.99920772505278,"both",1.99920772505278,FALSE
"Alas2",TRUE,TRUE,-1.98358842522841,"both",1.98358842522841,FALSE
"Rnf7",TRUE,FALSE,1.97881551015854,"dorothea_only",1.97881551015854,FALSE
"Pmaip1",TRUE,TRUE,1.97332686085341,"both",1.97332686085341,FALSE
"Ptges",FALSE,TRUE,1.94541139080765,"collectri_only",1.94541139080765,FALSE
"Met",TRUE,TRUE,1.91219045140099,"both",1.91219045140099,FALSE
"Arnt",FALSE,TRUE,-1.91100053563526,"collectri_only",1.91100053563526,FALSE
"Vegfb",TRUE,TRUE,1.89517802046365,"both",1.89517802046365,FALSE
"Gys1",TRUE,TRUE,1.89454557982844,"both",1.89454557982844,FALSE
"Mmp17",FALSE,TRUE,-1.87987091569244,"collectri_only",1.87987091569244,FALSE
"Prnp",FALSE,TRUE,-1.85244320641332,"collectri_only",1.85244320641332,FALSE
"Egln1",TRUE,TRUE,1.85136711194599,"both",1.85136711194599,FALSE
"Hif1an",FALSE,TRUE,1.84811380878353,"collectri_only",1.84811380878353,FALSE
"Bnip3l",TRUE,TRUE,-1.81453925883996,"both",1.81453925883996,FALSE
"Ccnd1",TRUE,TRUE,1.79983993144867,"both",1.79983993144867,FALSE
"Mmp9",FALSE,TRUE,1.77805523431136,"collectri_only",1.77805523431136,FALSE
"Ercc6",TRUE,FALSE,1.74961946675464,"dorothea_only",1.74961946675464,FALSE
"Pdk3",TRUE,TRUE,-1.72934409667142,"both",1.72934409667142,FALSE
"Vasp",FALSE,TRUE,1.70974464148158,"collectri_only",1.70974464148158,FALSE
"Pfkfb4",TRUE,TRUE,-1.6980638116214,"both",1.6980638116214,FALSE
"Hsp90ab1",FALSE,TRUE,-1.68646259603971,"collectri_only",1.68646259603971,FALSE
"Aldoart2",TRUE,FALSE,1.65552412321344,"dorothea_only",1.65552412321344,FALSE
"Tgfb3",TRUE,TRUE,-1.64108361844578,"both",1.64108361844578,FALSE
"Crebbp",FALSE,TRUE,-1.6241006297964,"collectri_only",1.6241006297964,FALSE
"Vegfc",FALSE,TRUE,1.61748862309845,"collectri_only",1.61748862309845,FALSE
"Ddx3x",FALSE,TRUE,1.59394147695097,"collectri_only",1.59394147695097,FALSE
"Mdk",FALSE,TRUE,1.57300575527003,"collectri_only",1.57300575527003,FALSE
"Pik3r1",FALSE,TRUE,-1.5425620355197,"collectri_only",1.5425620355197,FALSE
"Rpsa",FALSE,TRUE,1.5414980163627,"collectri_only",1.5414980163627,FALSE
"Hk1",TRUE,FALSE,1.5125944856865,"dorothea_only",1.5125944856865,FALSE
"Mapk1",FALSE,TRUE,-1.49940927968765,"collectri_only",1.49940927968765,FALSE
"Gper1",FALSE,TRUE,1.4919164613058,"collectri_only",1.4919164613058,FALSE
"Gk",FALSE,TRUE,1.48639404816928,"collectri_only",1.48639404816928,FALSE
"Ceacam2",TRUE,FALSE,-1.48377217404668,"dorothea_only",1.48377217404668,FALSE
"Ppp1r3c",TRUE,TRUE,1.44430571563735,"both",1.44430571563735,FALSE
"Bnip3",TRUE,TRUE,-1.42890798808254,"both",1.42890798808254,FALSE
"Ucp2",FALSE,TRUE,-1.4106007409578,"collectri_only",1.4106007409578,FALSE
"Hipk2",FALSE,TRUE,1.39536033269818,"collectri_only",1.39536033269818,FALSE
"Carm1",FALSE,TRUE,1.39080762342719,"collectri_only",1.39080762342719,FALSE
"Hgf",FALSE,TRUE,-1.37042146992409,"collectri_only",1.37042146992409,FALSE
"Edn1",TRUE,TRUE,-1.3700518042939,"both",1.3700518042939,FALSE
"Mapk14",FALSE,TRUE,-1.36667792231174,"collectri_only",1.36667792231174,FALSE
"Cited2",TRUE,TRUE,-1.36637299865587,"both",1.36637299865587,FALSE
"Nt5e",TRUE,TRUE,-1.33918837595791,"both",1.33918837595791,FALSE
"Ngb",FALSE,TRUE,1.33644148912643,"collectri_only",1.33644148912643,FALSE
"Kcnmb1",FALSE,TRUE,1.31901742558623,"collectri_only",1.31901742558623,FALSE
"Nampt",TRUE,TRUE,-1.30202889915064,"both",1.30202889915064,FALSE
"Ilk",TRUE,FALSE,-1.27940912431769,"dorothea_only",1.27940912431769,FALSE
"Jun",FALSE,TRUE,-1.26834547682528,"collectri_only",1.26834547682528,FALSE
"Slc29a2",FALSE,TRUE,-1.26173359936352,"collectri_only",1.26173359936352,FALSE
"Ghr",FALSE,TRUE,1.25797190326844,"collectri_only",1.25797190326844,FALSE
"Prkg1",FALSE,TRUE,1.22959467671273,"collectri_only",1.22959467671273,FALSE
"Slc11a1",TRUE,TRUE,1.22657115137768,"both",1.22657115137768,FALSE
"Cd164",FALSE,TRUE,1.21525235902178,"collectri_only",1.21525235902178,FALSE
"Ercc2",FALSE,TRUE,1.17146472473302,"collectri_only",1.17146472473302,FALSE
