"gene","tf","in_regulon","gene_heat_t","tf_heatmain_score","gene_contrib","tf_family"
"Ccl4","Egr1",1,15.3249189525777,5.5419118789059,11.0280305807477,"AP-1/immediate-early"
"Eno2","Egr1",0,14.81234910031,5.5419118789059,11.0047832347513,"AP-1/immediate-early"
"Rora","Egr1",0,15.3902312093323,5.5419118789059,10.9548796224002,"AP-1/immediate-early"
"Timp1","Nfkb1",1,34.9667956450584,5.12470586395053,24.9249900286913,"NF-kB"
"Sdc1","Nfkb1",1,31.8805471524107,5.12470586395053,22.8929996902441,"NF-kB"
"Itga5","Nfkb1",0,25.6423661286299,5.12470586395053,18.4582530987312,"NF-kB"
"Glb1","Nfkb1",0,23.177999891248,5.12470586395053,17.3885344920755,"NF-kB"
"Lgals3","Nfkb1",0,24.5416627598424,5.12470586395053,16.8033146701733,"NF-kB"
"Bcl2l1","Nfkb1",1,21.9815051784887,5.12470586395053,16.0796092768292,"NF-kB"
"Spp1","Nfkb1",0,21.5604773272749,5.12470586395053,15.3649511654676,"NF-kB"
"Bcr","Nfkb1",0,18.0259595851548,5.12470586395053,13.5750369655157,"NF-kB"
"Adora2b","Nfkb1",0,18.3350333260031,5.12470586395053,13.2383986587328,"NF-kB"
"Ar","Nfkb1",1,19.9423456888893,5.12470586395053,13.14639338402,"NF-kB"
"Cd44","Nfkb1",0,16.9222666087092,5.12470586395053,12.505000321005,"NF-kB"
"Pcx","Nfkb1",0,17.716328096864,5.12470586395053,12.5002699175979,"NF-kB"
"Pak1","Nfkb1",0,16.2427678266493,5.12470586395053,12.3992923863106,"NF-kB"
"Cdkn1a","Nfkb1",1,18.2908659188984,5.12470586395053,12.3278744148841,"NF-kB"
"Sphk1","Nfkb1",0,17.3319051731193,5.12470586395053,12.1468455558043,"NF-kB"
"Furin","Nfkb1",0,15.611406576074,5.12470586395053,11.6903423050384,"NF-kB"
"Serpine1","Nfkb1",1,17.2744472952486,5.12470586395053,11.2113044225909,"NF-kB"
"Ccl4","Nfkb1",1,15.3249189525777,5.12470586395053,11.0280305807477,"NF-kB"
"Eno2","Nfkb1",0,14.81234910031,5.12470586395053,11.0047832347513,"NF-kB"
"Rora","Nfkb1",0,15.3902312093323,5.12470586395053,10.9548796224002,"NF-kB"
"Timp1","Ar",0,34.9667956450584,2.9498454966218,24.9249900286913,"nuclear receptor"
"Sdc1","Ar",0,31.8805471524107,2.9498454966218,22.8929996902441,"nuclear receptor"
"Itga5","Ar",0,25.6423661286299,2.9498454966218,18.4582530987312,"nuclear receptor"
"Glb1","Ar",0,23.177999891248,2.9498454966218,17.3885344920755,"nuclear receptor"
"Lgals3","Ar",0,24.5416627598424,2.9498454966218,16.8033146701733,"nuclear receptor"
"Bcl2l1","Ar",1,21.9815051784887,2.9498454966218,16.0796092768292,"nuclear receptor"
"Spp1","Ar",0,21.5604773272749,2.9498454966218,15.3649511654676,"nuclear receptor"
"Bcr","Ar",0,18.0259595851548,2.9498454966218,13.5750369655157,"nuclear receptor"
"Adora2b","Ar",0,18.3350333260031,2.9498454966218,13.2383986587328,"nuclear receptor"
"Ar","Ar",1,19.9423456888893,2.9498454966218,13.14639338402,"nuclear receptor"
"Cd44","Ar",0,16.9222666087092,2.9498454966218,12.505000321005,"nuclear receptor"
"Pcx","Ar",1,17.716328096864,2.9498454966218,12.5002699175979,"nuclear receptor"
"Pak1","Ar",0,16.2427678266493,2.9498454966218,12.3992923863106,"nuclear receptor"
"Cdkn1a","Ar",1,18.2908659188984,2.9498454966218,12.3278744148841,"nuclear receptor"
"Sphk1","Ar",0,17.3319051731193,2.9498454966218,12.1468455558043,"nuclear receptor"
"Furin","Ar",0,15.611406576074,2.9498454966218,11.6903423050384,"nuclear receptor"
"Serpine1","Ar",1,17.2744472952486,2.9498454966218,11.2113044225909,"nuclear receptor"
"Ccl4","Ar",0,15.3249189525777,2.9498454966218,11.0280305807477,"nuclear receptor"
"Eno2","Ar",1,14.81234910031,2.9498454966218,11.0047832347513,"nuclear receptor"
"Rora","Ar",1,15.3902312093323,2.9498454966218,10.9548796224002,"nuclear receptor"
