"source","target","mor","t_wt","contrib","class"
"Hif1a","Cd24a",1,3.78994950950339,3.78994950950339,"other"
"Hif1a","Il11",1,3.7872164071514,3.7872164071514,"other"
"Hif1a","Cish",1,3.76842270311315,3.76842270311315,"other"
"Hif1a","Pik3ca",1,3.70872215942354,3.70872215942354,"other"
"Hif1a","Pfkfb3",1,3.60954975455625,3.60954975455625,"other"
"Hif1a","Tlr2",1,3.56005323682291,3.56005323682291,"other"
"Hif1a","Pparg",1,3.54900365103618,3.54900365103618,"other"
"Hif1a","Arnt2",1,3.38808736930842,3.38808736930842,"other"
"Hif1a","Il10",1,3.3695347624915,3.3695347624915,"other"
"Hif1a","Ddit4",1,3.25348972176229,3.25348972176229,"other"
"Hif1a","Mxi1",1,3.20675020731611,3.20675020731611,"other"
"Hif1a","Id2",1,3.14678079604904,3.14678079604904,"other"
"Hif1a","Cd151",-1,-3.09302542756921,3.09302542756921,"other"
"Hif1a","Rps6kb1",1,2.99457735212111,2.99457735212111,"other"
"Hif1a","Tert",1,2.94399145667695,2.94399145667695,"other"
"Hif1a","Mif",1,2.86604732843626,2.86604732843626,"other"
"Hif1a","Pgam1",1,2.80832446269756,2.80832446269756,"other"
"Hif1a","Tlr4",1,2.70083310642827,2.70083310642827,"other"
"Hif1a","Slc2a3",1,2.64641662693957,2.64641662693957,"other"
"Hif1a","Tff1",1,2.62020782421357,2.62020782421357,"other"
"Hif1a","Spry2",-1,-2.60186372830016,2.60186372830016,"other"
"Hif1a","Hmox1",1,2.57540219730917,2.57540219730917,"other"
"Hif1a","Brca1",1,2.5320225368738,2.5320225368738,"other"
"Hif1a","Kdm5b",1,2.48542567824949,2.48542567824949,"other"
"Hif1a","Flt1",1,2.47548348589301,2.47548348589301,"other"
"Hif1a","Epor",1,2.38617335662577,2.38617335662577,"other"
"Hif1a","Atrip",1,2.37998023817142,2.37998023817142,"other"
"Hif1a","Sdhb",-1,-2.18509695409235,2.18509695409235,"other"
"Hif1a","Esr1",1,2.16849078444419,2.16849078444419,"other"
"Hif1a","Aqp4",1,2.11098599122926,2.11098599122926,"other"
"Hif1a","Aqp1",1,2.08865320121538,2.08865320121538,"other"
"Hif1a","Psmc6",1,2.05918802917882,2.05918802917882,"other"
"Hif1a","Hey1",1,1.99920772505278,1.99920772505278,"other"
"Hif1a","Pmaip1",1,1.97332686085341,1.97332686085341,"other"
"Hif1a","Ptges",1,1.94541139080765,1.94541139080765,"other"
"Hif1a","Met",1,1.91219045140099,1.91219045140099,"other"
"Hif1a","Vegfb",1,1.89517802046365,1.89517802046365,"other"
"Hif1a","Gys1",1,1.89454557982844,1.89454557982844,"other"
"Hif1a","Egln1",1,1.85136711194599,1.85136711194599,"other"
"Hif1a","Hif1an",1,1.84811380878353,1.84811380878353,"other"
"Hif1a","Ccnd1",1,1.79983993144867,1.79983993144867,"other"
"Hif1a","Mmp9",1,1.77805523431136,1.77805523431136,"other"
"Hif1a","Vasp",1,1.70974464148158,1.70974464148158,"other"
"Hif1a","Vegfc",1,1.61748862309845,1.61748862309845,"other"
"Hif1a","Ddx3x",1,1.59394147695097,1.59394147695097,"other"
"Hif1a","Mdk",1,1.57300575527003,1.57300575527003,"other"
"Hif1a","Rpsa",1,1.5414980163627,1.5414980163627,"other"
"Hif1a","Gper1",1,1.4919164613058,1.4919164613058,"other"
"Hif1a","Gk",1,1.48639404816928,1.48639404816928,"other"
"Hif1a","Ppp1r3c",1,1.44430571563735,1.44430571563735,"other"
"Hif1a","Hipk2",1,1.39536033269818,1.39536033269818,"other"
"Hif1a","Carm1",1,1.39080762342719,1.39080762342719,"other"
"Hif1a","Ngb",1,1.33644148912643,1.33644148912643,"other"
"Hif1a","Kcnmb1",1,1.31901742558623,1.31901742558623,"other"
"Hif1a","Ghr",1,1.25797190326844,1.25797190326844,"other"
"Hif1a","Prkg1",1,1.22959467671273,1.22959467671273,"other"
"Hif1a","Slc11a1",1,1.22657115137768,1.22657115137768,"other"
"Hif1a","Cd164",1,1.21525235902178,1.21525235902178,"other"
"Hif1a","Ercc2",1,1.17146472473302,1.17146472473302,"other"
"Hif1a","Nbn",-1,-1.16171444103398,1.16171444103398,"other"
"Hif1a","Mt1",1,1.14722964933123,1.14722964933123,"other"
"Hif1a","Vhl",1,1.09279445465936,1.09279445465936,"other"
"Hif1a","Ccr7",1,1.07843889434866,1.07843889434866,"other"
"Hif1a","Kdm4c",1,0.997243156807378,0.997243156807378,"other"
"Hif1a","Mrc1",1,0.993199271529878,0.993199271529878,"other"
"Hif1a","Akt1",1,0.904740590507242,0.904740590507242,"other"
"Hif1a","Vldlr",1,0.894819005002511,0.894819005002511,"other"
"Hif1a","Cxcr1",1,0.881180368361105,0.881180368361105,"other"
"Hif1a","Hif3a",1,0.814801230022197,0.814801230022197,"other"
"Hif1a","Dld",1,0.803390768702035,0.803390768702035,"other"
"Hif1a","Dio3",1,0.797957728021379,0.797957728021379,"other"
"Hif1a","Hes1",1,0.773830471124278,0.773830471124278,"other"
"Hif1a","Sox9",1,0.750979277212875,0.750979277212875,"other"
"Hif1a","Prdx2",1,0.734412210715431,0.734412210715431,"other"
"Hif1a","Epas1",1,0.6526661821415,0.6526661821415,"other"
"Hif1a","Atpif1",1,0.641658919786317,0.641658919786317,"other"
"Hif1a","Snai1",1,0.640243687981726,0.640243687981726,"other"
"Hif1a","Erbb2",1,0.622755790097845,0.622755790097845,"other"
"Hif1a","Foxm1",1,0.613846397732848,0.613846397732848,"other"
"Hif1a","Angpt1",-1,-0.591379355637503,0.591379355637503,"other"
"Hif1a","Angpt2",1,0.571406289479223,0.571406289479223,"other"
"Hif1a","Nos1",1,0.545271461032191,0.545271461032191,"other"
"Hif1a","Slc2a4",1,0.544697636496029,0.544697636496029,"other"
"Hif1a","Il6",1,0.533988604027013,0.533988604027013,"other"
"Hif1a","Aqp9",1,0.493675135213434,0.493675135213434,"other"
"Hif1a","Smad4",1,0.479644105815041,0.479644105815041,"other"
"Hif1a","Wsb1",1,0.389519760838538,0.389519760838538,"other"
"Hif1a","Prdx3",1,0.356316078070046,0.356316078070046,"other"
"Hif1a","Casp3",1,0.304054291306513,0.304054291306513,"other"
"Hif1a","Cdkn1c",1,0.279144978495056,0.279144978495056,"other"
"Hif1a","Kcnj8",1,0.2769662106718,0.2769662106718,"other"
"Hif1a","Abcc9",1,0.275119170939977,0.275119170939977,"other"
"Hif1a","Bcl2",1,0.262318680096748,0.262318680096748,"other"
"Hif1a","Fn1",1,0.262240527635201,0.262240527635201,"other"
"Hif1a","Pfkl",1,0.250312825590635,0.250312825590635,"other"
"Hif1a","Fgf2",1,0.145563072679874,0.145563072679874,"other"
"Hif1a","Birc3",1,0.106819062802941,0.106819062802941,"other"
"Hif1a","Cxcr2",1,0.0946467147235971,0.0946467147235971,"other"
"Hif1a","Col2a1",1,0.0945978856451638,0.0945978856451638,"other"
"Hif1a","Socs1",1,0.0607606976688881,0.0607606976688881,"other"
"Hif1a","Myc",-1,-0.0399942986526997,0.0399942986526997,"other"
"Hif1a","Ppfia4",1,-0.00562018370307288,-0.00562018370307288,"other"
"Hif1a","S100a4",1,-0.0494922045235457,-0.0494922045235457,"other"
"Hif1a","Sod2",1,-0.0852772474384001,-0.0852772474384001,"other"
"Hif1a","Txn2",1,-0.0973823372520357,-0.0973823372520357,"other"
"Hif1a","Nedd8",1,-0.113034018048656,-0.113034018048656,"other"
"Hif1a","Chka",1,-0.125555302506956,-0.125555302506956,"other"
"Hif1a","Ctf1",1,-0.173593399957072,-0.173593399957072,"other"
"Hif1a","Dll4",1,-0.273475297273516,-0.273475297273516,"other"
"Hif1a","Gbe1",1,-0.278237400539576,-0.278237400539576,"other"
