signature,gene_symbol,group,temperature,genotype,n_samples,mean_logcpm,sd_logcpm,se_logcpm,z_across_groups
WT_heat_up,Procr,cGASKO_37,37,cGASKO,5,3.17718362,0.151939678,0.0679494897,-0.717169663
WT_heat_up,Procr,cGASKO_39,39,cGASKO,5,4.30460048,0.167048136,0.0747061974,0.893414592
WT_heat_up,Trpm6,WT_37,37,WT,5,0.74073395,0.149155242,0.0667042523,-0.896878023
WT_heat_up,Trpm6,WT_39,39,WT,5,2.41063734,0.242871236,0.108615319,0.879754262
WT_heat_up,Trpm6,cGASKO_37,37,cGASKO,5,0.799367768,0.246969106,0.110447942,-0.83449673
WT_heat_up,Trpm6,cGASKO_39,39,cGASKO,5,2.38419367,0.100130044,0.0447795172,0.85162049
WT_heat_up,Aldh1a2,WT_37,37,WT,5,0.791548972,0.413967462,0.185131877,-0.804037545
WT_heat_up,Aldh1a2,WT_39,39,WT,5,2.91111282,0.162075611,0.0724824167,0.81673343
WT_heat_up,Aldh1a2,cGASKO_37,37,cGASKO,5,0.633877733,0.304500903,0.136176944,-0.924604316
WT_heat_up,Aldh1a2,cGASKO_39,39,cGASKO,5,3.03557796,0.0571288184,0.0255487843,0.911908432
WT_heat_up,1110002J07Rik,WT_37,37,WT,5,1.46508296,0.353833902,0.158239332,-0.841294411
WT_heat_up,1110002J07Rik,WT_39,39,WT,5,3.16036038,0.0859935652,0.0384574915,0.821588825
WT_heat_up,1110002J07Rik,cGASKO_37,37,cGASKO,5,1.41612238,0.154624846,0.0691503332,-0.889319427
WT_heat_up,1110002J07Rik,cGASKO_39,39,cGASKO,5,3.24949988,0.184359078,0.0824478863,0.909025013
WT_heat_up,Fosl2,WT_37,37,WT,5,4.80286509,0.276211088,0.123525354,-0.803269303
WT_heat_up,Fosl2,WT_39,39,WT,5,6.38449477,0.203989514,0.091226884,0.902990992
WT_heat_up,Fosl2,cGASKO_37,37,cGASKO,5,4.68932286,0.0424220475,0.0189717164,-0.92575852300000006
WT_heat_up,Fosl2,cGASKO_39,39,cGASKO,5,6.31316159,0.108316744,0.0484407204,0.826036834
WT_heat_up,Tmeff2,WT_37,37,WT,5,3.28358959,0.101165417,0.0452425498,-0.922470153
WT_heat_up,Tmeff2,WT_39,39,WT,5,4.33828972,0.164381545,0.0735136618,0.775734902
WT_heat_up,Tmeff2,cGASKO_37,37,cGASKO,5,3.35770393,0.0899008233,0.0402048704,-0.803136385
WT_heat_up,Tmeff2,cGASKO_39,39,cGASKO,5,4.4464404,0.162842208,0.0728252493,0.949871636
WT_heat_up,Cd200,WT_37,37,WT,5,5.23984604,0.216525379,0.0968330932,-0.853682502
WT_heat_up,Cd200,WT_39,39,WT,5,6.39603851,0.0788844175,0.035278184,0.936121025
WT_heat_up,Cd200,cGASKO_37,37,cGASKO,5,5.22585734,0.0892933909,0.0399332184,-0.875337226
WT_heat_up,Cd200,cGASKO_39,39,cGASKO,5,6.30351854,0.124326942,0.0556006989,0.792898703
WT_heat_up,Gatm,WT_37,37,WT,5,4.14816725,0.283293578,0.12669274,-0.847333984
WT_heat_up,Gatm,WT_39,39,WT,5,5.6609612,0.162969126,0.0728820087,0.910876612
WT_heat_up,Gatm,cGASKO_37,37,cGASKO,5,4.11719423,0.115684404,0.0517356383,-0.883331671
WT_heat_up,Gatm,cGASKO_39,39,cGASKO,5,5.58258793,0.0931749455,0.0416691024,0.819789043
WT_heat_up,Slc41a1,WT_37,37,WT,5,5.39084189,0.185993621,0.083178876,-0.875717486
WT_heat_up,Slc41a1,WT_39,39,WT,5,6.68613946,0.210762606,0.0942559027,0.862673032
